un_012580_0005#0,"""[Secret Reasons]<br>ข้อความชั่วคราว"""
un_012580_0010#0,"""ว่าไง ท่าทางเจ้าดูสบายดีนะ<br>แหม ดีแล้วล่ะที่ปลอดภัยกันทั้งคู่"""
un_012580_0020#0,"""เหตุก็เพราะการต่อสู้ก่อนหน้านี้<br>มันรุนแรงมากน่ะนะ<br>ตอนนี้ก่อนอื่นก็ควรจะดีใจที่เราปลอดภัย"""
un_012580_0030#0,"""......ทว่าข้ามีเรื่องที่ติดใจอยู่<br>ขอถามเจ้าหน่อยได้รึเปล่า?"""
un_012580_0040#0,"""ทำไม Dark Falz นั่น<br>ถึงได้ไปปรากฏตัวที่ <br>Naberius?"""
un_012580_0050#0,"""มันเรียกตัวเองว่า Elder <br>นั่นเป็นชื่อเดียวกับ Dark Falz<br>ที่ถูกทำลายไปเมื่อสี่สิบปีก่อนนี่นา"""
un_012580_0060#0,"""ถ้างั้นก็แสดงว่ามันฟื้นคืนชีพขึ้นมารึ<br>เพราะอะไรล่ะ? เกิดอะไรขึ้นรึไง?"""
un_012580_0070#0,"""ข้อมูลรอบๆ Naberius ที่ทำให้ ARKS ทั้งหมด<br>โกลาหลก็ยังถูกปกปิดซ่อนอยู่อีกมาก ข้อมูลมัน<br>ไม่ปะติดปะต่อก็เลยเดาสถานการณ์ไม่ออกเลย"""
un_012580_0080#0,"""น่าหงุดหงิดจริงๆ......<br>มีเรื่องจำเป็นอะไรที่ต้องปกปิดไว้งั้นเรอะ?"""
un_012580_0090#0,"""......โอ๊ะ ขอโทษที<br>หวาดระแวงไปมันก็<br>ช่วยอะไรไม่ได้นี่นะ"""
un_012580_0100#0,"""ถ้างั้น ข้าไปล่ะนะ<br>ระตัวด้วยล่ะ!"""
un_012580_0005#1,"""【隠されていた理由は】<br>仮テキスト"""
un_012580_0010#1,"""よう、お前も元気そうだな。<br>いや、お互いに無事で良かった。"""
un_012580_0020#1,"""なにせ、この前の戦闘は<br>相当に苛烈だったからな。<br>まずは無事を喜ぶべきだ。"""
un_012580_0030#1,"""……しかし、気になることがある。<br>少し聞いてくれるか？"""
un_012580_0040#1,"""なぜ、ナベリウスから<br>あのダークファルスが<br>出現したのか。"""
un_012580_0050#1,"""あれは【巨躯】と呼称されていた。<br>それは、四十年前に撃破したと<br>言われていたダークファルスだ。"""
un_012580_0060#1,"""それが復活したのだとしたら<br>何故だ？\u3000何があったのだ？"""
un_012580_0070#1,"""アークス全体が未だ混乱しているうえ<br>ナベリウス周りは秘匿情報も多い。<br>断片的すぎて、想像の域を出ない。"""
un_012580_0080#1,"""歯痒いな……<br>何か不都合なことを隠しているのか？"""
un_012580_0090#1,"""……おっと、すまん。<br>あまり疑心暗鬼になっても<br>仕方がないな。"""
un_012580_0100#1,"""では、オレは行く。<br>お互いに気をつけよう！"""
