IncidentName#0,"""パジャドゥリンの暴走を止めろ！"""
TrialBeginMsg#0,"""パジャドゥリンを倒せ！"""
TrialAbstract#0,"""$(0)を$(1)体倒せ！"""
NpcComOnBegin#0,"""エリア内にパジャドゥリンが現れた。<br>だが、動きが妙だ……<br>各員、慎重に迎撃しろ。"""
NpcComOnBegin2#0,"""空を黒に包み自らを強化している……？<br>あの灯籠が瘴気の影響を受けたのか？<br>各員、灯籠を攻撃し、浄化しろ！"""
NpcComOnSuccess#0,"""パジャドゥリンの鎮圧を確認。<br>瘴気の影響を受けた灯籠があるなら<br>今のうちに浄化をしておけ。"""
NpcComOnFailure#0,"""……作戦は失敗のようだな。<br>だが、変化した灯籠については<br>瘴気の影響から浄化しておけ。"""
NpcComOnLevelUp#0,"""空が一段と黒くなったぞ。<br>瘴気の影響を受けた灯籠を攻撃しろ。<br>急げ、このままでは不利になる。"""
NpcComOnLevelUp34#0,"""瘴気に満ちた場所には気をつけろ。<br>踏み入れば、ダメージを受けるぞ。<br>屋根の上からパジャドゥリンを追え！"""
NpcComOnLevelUp45#0,"""非常にまずい状況だ。<br>瘴気でエネミーが回復しはじめた。<br>灯籠の浄化を急げ！"""
NpcComOnLevelDown#0,"""よし、その調子で灯籠の浄化を続けろ。<br>空の色が戻り始めたぞ。<br>だが、油断するなよ。"""
NpcComOnLevelDown21#0,"""全ての灯籠を浄化したようだな。<br>このタイミングでパジャドゥリンを<br>一網打尽にしろ。"""
NpcComOnRelease#0,"""よくやった。<br>他にも瘴気を受けた灯籠があるなら<br>今のように浄化していけ。"""
NpcComOnBlack#0,"""灯籠がパジャドゥリンの瘴気を受けた。<br>急いで瘴気を浄化しろ。<br>このままでは被害が増えるだけだ！"""
NpcComRollerPos#0,"""パジャドゥリンの位置を特定した。<br>$(0)に急行し、早急に撃退しろ。"""
NpcComOnBegin#1,"""エリア内にパジャドゥリンが現れた。<br>だが、動きが妙だ……<br>各員、慎重に迎撃しろ。"""
NpcComOnBegin2#1,"""空を黒に包み自らを強化している……？<br>あの灯籠が瘴気の影響を受けたのか？<br>各員、灯籠を攻撃し、浄化しろ！"""
NpcComOnSuccess#1,"""パジャドゥリンの鎮圧を確認。<br>瘴気の影響を受けた灯籠があるなら<br>今のうちに浄化をしておけ。"""
NpcComOnFailure#1,"""……作戦は失敗のようだな。<br>だが、変化した灯籠については<br>瘴気の影響から浄化しておけ。"""
NpcComOnLevelUp#1,"""空が一段と黒くなったぞ。<br>瘴気の影響を受けた灯籠を攻撃しろ。<br>急げ、このままでは不利になる。"""
NpcComOnLevelUp34#1,"""瘴気に満ちた場所には気をつけろ。<br>踏み入れば、ダメージを受けるぞ。<br>屋根の上からパジャドゥリンを追え！"""
NpcComOnLevelUp45#1,"""非常にまずい状況だ。<br>瘴気でエネミーが回復しはじめた。<br>灯籠の浄化を急げ！"""
NpcComOnLevelDown#1,"""よし、その調子で灯籠の浄化を続けろ。<br>空の色が戻り始めたぞ。<br>だが、油断するなよ。"""
NpcComOnLevelDown21#1,"""全ての灯籠を浄化したようだな。<br>このタイミングでパジャドゥリンを<br>一網打尽にしろ。"""
NpcComOnRelease#1,"""よくやった。<br>他にも瘴気を受けた灯籠があるなら<br>今のように浄化していけ。"""
NpcComOnBlack#1,"""灯籠がパジャドゥリンの瘴気を受けた。<br>急いで瘴気を浄化しろ。<br>このままでは被害が増えるだけだ！"""
NpcComRollerPos#1,"""パジャドゥリンの位置を特定した。<br>$(0)に急行し、早急に撃退しろ。"""
NpcComOnBegin#2,"""エリア内にパジャドゥリンが現れた。<br>だが、動きが妙だ……<br>各員、慎重に迎撃しろ。"""
NpcComOnBegin2#2,"""空を黒に包み自らを強化している……？<br>あの灯籠が瘴気の影響を受けたのか？<br>各員、灯籠を攻撃し、浄化しろ！"""
NpcComOnSuccess#2,"""パジャドゥリンの鎮圧を確認。<br>瘴気の影響を受けた灯籠があるなら<br>今のうちに浄化をしておけ。"""
NpcComOnFailure#2,"""……作戦は失敗のようだな。<br>だが、変化した灯籠については<br>瘴気の影響から浄化しておけ。"""
NpcComOnLevelUp#2,"""空が一段と黒くなったぞ。<br>瘴気の影響を受けた灯籠を攻撃しろ。<br>急げ、このままでは不利になる。"""
NpcComOnLevelUp34#2,"""瘴気に満ちた場所には気をつけろ。<br>踏み入れば、ダメージを受けるぞ。<br>屋根の上からパジャドゥリンを追え！"""
NpcComOnLevelUp45#2,"""非常にまずい状況だ。<br>瘴気でエネミーが回復しはじめた。<br>灯籠の浄化を急げ！"""
NpcComOnLevelDown#2,"""よし、その調子で灯籠の浄化を続けろ。<br>空の色が戻り始めたぞ。<br>だが、油断するなよ。"""
NpcComOnLevelDown21#2,"""全ての灯籠を浄化したようだな。<br>このタイミングでパジャドゥリンを<br>一網打尽にしろ。"""
NpcComOnRelease#2,"""よくやった。<br>他にも瘴気を受けた灯籠があるなら<br>今のように浄化していけ。"""
NpcComOnBlack#2,"""灯籠がパジャドゥリンの瘴気を受けた。<br>急いで瘴気を浄化しろ。<br>このままでは被害が増えるだけだ！"""
NpcComRollerPos#2,"""パジャドゥリンの位置を特定した。<br>$(0)に急行し、早急に撃退しろ。"""
NpcComOnBegin#3,"""エリア内にパジャドゥリン出現。<br>不自然な挙動が見られます。<br>慎重な対応を。"""
NpcComOnBegin2#3,"""黒天の空によって敵性存在の能力向上が<br>見られます。瘴気の影響を受けた灯籠を<br>攻撃し、浄化してください。"""
NpcComOnSuccess#3,"""パジャドゥリンの鎮圧、確認。<br>瘴気の影響を受けた灯籠については<br>適時浄化を行ってください。"""
NpcComOnFailure#3,"""作戦失敗を確認。<br>しかし、瘴気の影響を受けた灯籠は<br>適時浄化を行っていってください。"""
NpcComOnLevelUp#3,"""黒天状態が強くなっています。<br>早急に、瘴気の影響を受けた<br>灯籠の浄化を。"""
NpcComOnLevelUp34#3,"""瘴気だまりに踏み入ると<br>肉体に深刻な影響が出ます。<br>屋根伝いでの移動を推奨。"""
NpcComOnLevelUp45#3,"""黒天状態が深刻です。<br>瘴気が敵性存在に活力を与えています。<br>急ぎ、侵食を受けた灯籠の浄化を。"""
NpcComOnLevelDown#3,"""灯籠の浄化を確認。<br>黒天状態も徐々に改善しています。<br>その要領で、灯籠の浄化を。"""
NpcComOnLevelDown21#3,"""全ての灯籠の浄化を確認しました。<br>パジャドゥリンの反応も弱体化。<br>今のうちに、撃退を。"""
NpcComOnRelease#3,"""見事な対応です。<br>他に瘴気の影響を受けた灯籠があれば<br>同様の対応をお願いします。"""
NpcComOnBlack#3,"""パジャドゥリンの瘴気によって<br>灯籠が影響を受けたようです。<br>急ぎ、灯籠を攻撃し、浄化を。"""
NpcComRollerPos#3,"""パジャドゥリンの位置、特定。<br>$(0)に急行し、早急な撃退を。"""
