name010#0,"""나즌"""
text010#0,"""では、次のクイズに参ります！"""
text020#0,"""題して、\""五つ子推理\""クイズ！"""
text030#0,"""話をよーく聞いて、判断してくださいね。<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text050#0,"""\""五つ子推理\""クイズは、これで終了です。<br>다음 퀴즈의  장소로 이동하죠!"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz01#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最初に到着した人<c>を、お答えください。"""
quiz01_journal#0,"""ロッジに<yellow>最初に到着<c>した人を答えろ！"""
quiz02#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>２番目に到着した人<c>を、お答えください。"""
quiz02_journal#0,"""ロッジに<yellow>２番目に到着<c>した人を答えろ！"""
quiz03#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>세 번째に到着した人<c>を、お答えください。"""
quiz03_journal#0,"""ロッジに<yellow>세 번째に到着<c>した人を答えろ！"""
quiz04#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>４番目に到着した人<c>を、お答えください。"""
quiz04_journal#0,"""ロッジに<yellow>４番目に到着<c>した人を答えろ！"""
quiz05#0,"""五つ子たちから、話を聞いて、<br>ロッジに<red>最後に到着した人<c>を、お答えください。"""
quiz05_journal#0,"""ロッジに<yellow>最後に到着<c>した人を答えろ！"""
quiz_select1#0,"""타이바스"""
quiz_select2#0,"""툴리"""
quiz_select3#0,"""이루마"""
quiz_select4#0,"""쿠카"""
quiz_select5#0,"""메리"""
quiz_answer1#0,"""정답은…<br><red>타이바스<c>입니다!"""
quiz_answer2#0,"""정답은…<br><red>툴리<c>입니다!"""
quiz_answer3#0,"""정답은…<br><red>이루마<c>입니다!"""
quiz_answer4#0,"""정답은…<br><red>쿠카<c>입니다!"""
quiz_answer5#0,"""정답은…<br><red>메리<c>입니다!"""
