st_052040_0010#0,"""全軍撤退完了しました！<br>ハリエット様もすぐに撤退をっ！"""
st_052040_0020#0,"""いえ、私には<br>まだここでやるべきことがあります！"""
st_052040_0030#0,"""ハリエット様……？<br>……まさか！"""
st_052040_0040#0,"""……此処に顕現せよ、破界の秘奥！"""
st_052040_0050#0,"""無理です、ハリエット様！<br>その術は……破界塔はまだ誰にも<br>制御できないことはわかっているはず！"""
st_052040_0060#0,"""それでも、やらねばならないのです。<br>魔神城の魔神結界を破壊できるのは<br>これだけなのですから。"""
st_052040_0070#0,"""……お願い、応えて。<br>この世界の、闇を祓うために！"""
st_052040_0080#0,"""……っ！<br>やはり、私では駄目なんですか……！<br>私の、魂では……！"""
st_052040_0090#0,"""え…………？"""
st_052040_0100#0,"""ふう、これぞまさしく<br>危機一髪ってやつですね！"""
st_052040_0110#0,"""……貴方は<br>どうしてここに……！"""
st_052040_0120#0,"""１．放っておけるはずがない"""
st_052040_0130#0,"""２．震えてたから"""
st_052040_0140#0,"""<%me>さんの言うとおり！<br>あの状況で放っておける人が<br>いるはずありません！"""
st_052040_0150#0,"""あれで隠せていると思ってるなら<br>大間違いです！\u3000<br>放っておけるわけありません！"""
st_052040_0160#0,"""アークスたるもの……ううん<br>守護輝士であるこの人が<br>放っておけるわけ、ないです！"""
st_052040_0170#0,"""守護、輝士……"""
st_052040_0180#0,"""……ありがとう、ございます。"""
st_052040_0190#0,"""とはいえー……<br>お礼を言ってもらうのは<br>まだちょっと早いかもですね。"""
st_052040_0200#0,"""いくら守護輝士でも<br>無限に沸いてくる敵を相手に<br>戦い続けるのは不可能です。"""
st_052040_0205#0,"""あちこちに散っている敵勢力は<br>ハリエットさんの軍隊が<br>押しとどめているようですが……"""
st_052040_0210#0,"""あの障壁を突破して<br>奥にそびえるヘンテコな城を<br>なんとかしないと！"""
st_052040_0220#0,"""……でも、城のまわりにある障壁。<br>あれを壊すのは相当骨が折れますよ。<br>その間、しのぎきれるんでしょうか。"""
st_052040_0223#0,"""１．まかせろ！"""
st_052040_0226#0,"""２．なんとかなる"""
st_052040_0230#0,"""っ！？<br>破界塔が……安定した！？"""
st_052040_0240#0,"""どうしたんですか<br>ハリエットさん？"""
st_052040_0250#0,"""障壁を破る方法……<br>あるかもしれません。"""
st_052040_0260#0,"""貴方の力……守護輝士の力を<br>信じさせてください。"""
