un_013060_0010#0,"""ว่าไง ผ่านการต่อสู้ดุเดือดขนาดนั้นมาแท้ๆ<br>แต่ท่านก็ยังดูท่าทางสบายดีนี่นา"""
un_013060_0020#0,"""หมายถึงศึกตัดสินกับ Dark Falz น่ะ<br>แต่ก็นะ สำหรับท่านแล้วมันอาจจะ<br>เป็นส่วนขยายจากการต่อสู้ประจำวันเท่านั้น"""
un_013060_0030#0,"""ได้ยินว่า ARKS ที่กำลังงุนงง<br>กับเรื่องนี้ก็ยังงุนงงอยู่แบบนั้น"""
un_013060_0040#0,"""เพราะว่าเรื่องมันถูกผนึกเอาไว้เอง<br>มันก็เป็นเรื่องถูกปกปิดเอาไว้ด้วย"""
un_013060_0050#0,"""แต่ก็นะ มันก็ไม่ใช่เรื่องที่<br>น่าจะตกใจขนาดนั้นนี่นา"""
un_013060_0060#0,"""ARKS เองก็เป็นองค์กรเหมือนกัน<br>เป็นเรื่องธรรมดาที่จะมีความลับบ้าง"""
un_013060_0070#0,"""ที่ข้าอยากจะบอกก็คือ<br>อย่าเห็นองค์กร ARKS เป็น<br>องค์กรในฝันมากเกินไปนี่แหละ"""
un_013060_0080#0,"""ทุกคนล้วนมีความลับและองค์กร<br>ที่ถูกสร้างขึ้นโดยคนก็ย่อม<br>จะอยู่ในกรอบเดียวกัน"""
un_013060_0090#0,"""เป็นเรื่องแน่นอนที่จะมีความลับ<br>แต่การที่จะมาฝันสลายที่ตรงนี้ก็แสดง<br>ว่ายังมีประสบการณ์ไม่มากพอล่ะนะ"""
un_013060_0100#0,"""ตรงจุดนั้น ดูเหมือนท่านจะไม่เป็นไรสินะ<br>แต่จะเป็นพวกที่สุดยอดหรือแค่ไร้อารมณ์นั้น<br>ตัวข้าเองก็ไม่รู้เหมือนกันน่ะนะ"""
un_013060_0010#1,"""や、あんな激しい戦いの後だけど<br>君はけっこう元気そうだね。"""
un_013060_0020#1,"""ダークファルスとの決戦のことさ。<br>まあ、君にとっては日常的な戦闘の<br>延長線上なのかもしれないけど。"""
un_013060_0030#1,"""戸惑っているアークスは<br>それなりにいるって聞いたよ。"""
un_013060_0040#1,"""封印されていたってことも<br>隠されていたわけだしね。"""
un_013060_0050#1,"""でもま、そんなに驚くようなことでも<br>ないんじゃないかな。"""
un_013060_0060#1,"""アークスだって一つの組織なんだから<br>秘密なんていくらでも抱えてるだろう。"""
un_013060_0070#1,"""何が言いたいかというと<br>アークスって組織に、夢を見すぎると<br>よくないよ、ってことだね。"""
un_013060_0080#1,"""誰にだって秘密はあるし<br>人が作った組織は、人の埒外まで<br>至ることは決してない。"""
un_013060_0090#1,"""秘密はあって当然ってこと。<br>ここで幻滅するようじゃ、まだまだ<br>経験が足りないってことだね。"""
un_013060_0100#1,"""その点、君は大丈夫そうだ。<br>大物なのか、無関心なだけなのか<br>それは私にはわからないけど。"""
