IncidentName#0,"""(仮)を撃退せよ！"""
TrialBeginMsg#0,"""制限時間内に(仮)を撃退せよ！"""
TrialAbstract#0,"""制限時間内に(仮)を撃退せよ！"""
NpcComOnBegin#0,"""NPC通信<br>（開始時）"""
NpcComOnSuccess#0,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#0,"""開始直後"""
NpcComOnFirstAttack#0,"""仮0"""
NpcComOnBreakRegion1#0,"""部位破壊1"""
NpcComOnBreakRegion2#0,"""部位破壊2"""
NpcComOnBreakRegion3#0,"""部位破壊3"""
NpcComOnBegin#1,"""NPC通信<br>（開始時）"""
NpcComOnSuccess#1,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#1,"""開始直後"""
NpcComOnFirstAttack#1,"""仮0"""
NpcComOnBreakRegion1#1,"""部位破壊1"""
NpcComOnBreakRegion2#1,"""部位破壊2"""
NpcComOnBreakRegion3#1,"""部位破壊3"""
NpcComOnBegin#2,"""NPC通信<br>（開始時）"""
NpcComOnSuccess#2,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#2,"""開始直後"""
NpcComOnFirstAttack#2,"""仮0"""
NpcComOnBreakRegion1#2,"""部位破壊1"""
NpcComOnBreakRegion2#2,"""部位破壊2"""
NpcComOnBreakRegion3#2,"""部位破壊3"""
NpcComOnBegin#3,"""NPC通信<br>（開始時）"""
NpcComOnSuccess#3,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#3,"""開始直後"""
NpcComOnFirstAttack#3,"""仮0"""
NpcComOnBreakRegion1#3,"""部位破壊1"""
NpcComOnBreakRegion2#3,"""部位破壊2"""
NpcComOnBreakRegion3#3,"""部位破壊3"""
NpcComOnBegin#4,"""NPC通信<br>（開始時）"""
NpcComOnSuccess#4,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#4,"""開始直後"""
NpcComOnFirstAttack#4,"""仮0"""
NpcComOnBreakRegion1#4,"""部位破壊1"""
NpcComOnBreakRegion2#4,"""部位破壊2"""
NpcComOnBreakRegion3#4,"""部位破壊3"""
