st_055110_0010#0,"""遡行召喚の準備は全て整った。<br>召喚対象……全知存在。"""
st_055110_0020#0,"""ハリエット……君は最高の器だ。<br>かの存在の受け皿となり<br>今度こそ君は、生まれ変わる。"""
st_055110_0030#0,"""何、怖がることはない。<br>これは死ではなく新生だ。"""
st_055110_0040#0,"""生まれ変わるんだ、君は。<br>その器に相応しき魂を宿して。"""
st_055110_0050#0,"""そして、君と共に……<br>僕は今度こそ全てを識る！"""
st_055110_0060#0,"""兄様……いえ、ルーサー。<br>貴方はその先に、何を見るのです？"""
st_055110_0070#0,"""……科学者に学の価値を問う気かい？"""
st_055110_0080#0,"""私がこの身を捨てることで、民が……<br>世界が、救われるのであれば<br>喜んでこの身を捧げましょう。"""
st_055110_0090#0,"""……しかし、そうでないのなら<br>ここで散らすわけにはいきません。"""
st_055110_0100#0,"""私は、力を持たない人々を<br>救うために、ここにいる。<br>ハリエットとして、ここに。"""
st_055110_0110#0,"""他ならない、貴方の手によって<br>そのように……そのために<br>喚ばれたのですから！"""
st_055110_0120#0,"""喚んだ……僕の手で……？<br>何を言う、ハリエットは<br>あの時、ここでその身を……！"""
st_055110_0130#0,"""……っ、ぐっ、ぐううううっ！"""
st_055110_0140#0,"""ハリエットさん！\u3000ご無事ですか！"""
st_055110_0150#0,"""守護輝士！\u3000シエラさん！<br>来てくれたのですね！"""
st_055110_0160#0,"""……貴様達、どうやってここに。"""
st_055110_0170#0,"""貴方が<br>言った通りの場所でしたね。<br>つまりあれは、すべて真実……"""
st_055110_0180#0,"""また、か……！<br>また現れるか、貴様！<br>いつもいつもいつもいつも僕の邪魔を！"""
st_055110_0190#0,"""また、ですって？"""
st_055110_0200#0,"""乗っ取られているのか"""
st_055110_0210#0,"""【敗者】の記憶か"""
st_055110_0220#0,"""……そう、みたいですね。<br>【敗者】の狂乱した際の様子に<br>似ています。"""
st_055110_0230#0,"""……そう、ですよね。<br>【敗者】でなければ<br>あんな言葉は出てこないはずです。"""
st_055110_0240#0,"""【敗者】……【敗者】。<br>そうだ、我が名は【敗者】。<br>全知へ至る者！"""
st_055110_0250#0,"""貴様……<br>アークス風情が、僕の邪魔を！<br>一度ならず、二度までも……！"""
st_055110_0260#0,"""シエラはハリエットと避難を"""
st_055110_0270#0,"""ダークファルスの相手は任せて"""
st_055110_0280#0,"""気をつけてくださいね！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
