un_061120_0010#0,"""やあ<%me>か！<br>こんなところで奇遇だな！"""
un_061120_0020#0,"""私たちは<br>艦隊戦の演習をしてきたんだ！"""
un_061120_0030#0,"""フォトナー艦隊からの襲撃が<br>いつくるかもわからないからな。<br>日々、編成の確認や演習を行っているのだ！"""
un_061120_0040#0,"""私とヒューイで<br>たくさんの戦艦に指示を出すんだ！<br>すごいだろ！"""
un_061120_0050#0,"""艦隊戦では<br>戦艦間の連携が重要となるからな。<br>……そこでだ！"""
un_061120_0060#0,"""なんと、戦闘部司令のこのオレと<br>次席のクラリスクレイスの二人が<br>指揮を執ることになったのだ！"""
un_061120_0070#0,"""頼りにしてるよ"""
un_061120_0080#0,"""……大丈夫？"""
un_061120_0090#0,"""まかせろ！<br>私とヒューイは息ぴったりだからな！"""
un_061120_0100#0,"""む、貴様も<br>そんな反応をするのか？<br>先代もそんな感じだったぞ。"""
un_061120_0110#0,"""戦術面の心配は無用だ。<br>作戦はカスラが立ててくれている。"""
un_061120_0120#0,"""お前たちに作戦を任せたら<br>５分と持たない、黙って従え！<br>って、カスラは言ってたな。"""
un_061120_0130#0,"""ははは、カスラは心配性だからな！<br>でもまあ、カスラの立てた作戦なら<br>皆も安心できるだろう！"""
un_061120_0140#0,"""というわけで、おもに<br>オラクル船団護衛とA.I.Sの輸送が<br>オレたちの艦隊の役割だ。"""
un_061120_0150#0,"""<%me>たちは<br>攻撃の要だ！<br>まかせたぞ！"""
