name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ..."""
11_voice_shop_414#0,"""ปฏิบัติภารกิจ ClientOrder <br><c bb0000>[New Mission Simulation: Greenscape]<c><br>ของ Cofy ให้ลุล่วง"""
text03#0,"""แต่การจะรับ ClientOrder นี้ได้ <br>ท่านจำเป็นต้องมี ClassLevel <br>เท่ากับ 45 หรือมากกว่าเท่านั้นนะ"""
text04#0,"""นี่เป็น AdvanceQuest ที่มีระดับความยากสูง<br>แต่ว่ากันว่ายิ่งยากเท่าไหร่ <br>ก็ย่อมได้ของล้ำค่ามากเท่านั้น"""
text05#0,"""จับอาวุธของท่านให้มั่น แล้วลุยเข้าไปเลย"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""コフィーのクライアントオーダー<br><c bb0000>「新規任務模擬訓練：森林」<c>を<br>達成することです。"""
text03#1,"""このクライアントオーダーの<br>受注には、クラスレベル４５以上という<br>条件があります。"""
text04#1,"""未開の地へ挑むアドバンスクエスト。<br>危険な反面、貴重なものも<br>手に入りやすい、と言われています。"""
text05#1,"""挑む人が後を絶たないわけですね。"""
