11_voice_NPC_5026_104#0,"""Gunners เป็นคนที่เหมาะกับ Twin Machinegunss!"""
text02#0,"""พวกเขาทำลายศัตรูโดยการสาดกระสุนใส่<br>ท่านแทบจะไม่ต้องเล็งเลยด้วยซ้ำ<br>เพียงแค่เข้าไปใกล้แล้วโจมตีสุดพลังของของ photons!"""
text03#0,"""แต่ละนัดที่โดนมีพลังทำลายล้างสูง <br>สร้างความบันเทิงยิ่งนัก!"""
text04#0,"""ดังนั้น... ลอง Twin assaults ดูมั้ย? <br>ท่านเอาคู่นี้ไปใช้ดู มันเป็นของข้า<br>และมีประวัติโชกโชน ฮาฮา!"""
text05#0,"""หลังจากฟังมานาน ลองออกไปกำจัด<br>พวกศัตรูด้วยตัวของท่านและเป็นการทดสอบ<br>อาวุธไปด้วย จงทรมานพวกมันให้มากที่สุด!"""
text100#0,"""Twin Machinegunss"""
text101#0,"""Twin Machinegunss สามารถใช้ผสมผสานกับการเคลื่อนที่เพื่อเน้นไปยังเป้าหมายเดี่ยว"""
text102#0,"""มาดูพื้นฐานการโจมตีของ Twin Machineguns และ Photon moves<br><br>สำหรับอาวุธระยะประชิดเช่น Sword จะทำให้การใช้ photon moves<br>จาก Alt-palette ขึ้นอยู่กับการโจมตีปกติ"""
11_voice_NPC_5026_104#1,"""ガンナーの特徴的な武装はですねえ<br>ツインマシンガンですよお。"""
text02#1,"""狙うというよりも、ばらまく感じの<br>近接寄りな射撃武器ですねえ。<br>とってもいっぱい当たりますよお。"""
text03#1,"""当てれば当てるほど威力も増えて<br>どんどんどんどん楽しくなって<br>いくんですよお。"""
text04#1,"""ツインマシンガン、使います？<br>なら、これをあげますよお。<br>リサの持ちもの。いわくつきです。"""
text05#1,"""いろいろお勉強するよりも、実際に<br>触って撃って苦しめて殺した方が<br>さくっと身につきますからねえ。"""
text100#1,"""『ツインマシンガン』について"""
text101#1,"""武器「ツインマシンガン」について、説明します。<br><br>ツインマシンガンは、アクロバティックな動きが特徴で<br>単一の敵に対して集中的に攻撃する射撃武器です。"""
text102#1,"""ツインマシンガン系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>ソード等の打撃武器のように、裏パレットは通常攻撃の段階に応じて<br>発動するフォトンアーツが変化していきます。"""
