st_042210_0001#0,"""A.D.2028/3/30/14:00"""
st_042210_0010#0,"""……やめた。これ以上の戦闘継続に意味はない。<br>こうもイレギュラーが多すぎると<br>損益分岐点を割ってしまうしね。"""
st_042210_0020#0,"""ここまでやっておいて、逃げる気！？"""
st_042210_0030#0,"""その通りだよ、お嬢さん。<br>私がやっているのはビジネスだ。<br>時には、すっぱり手を引く勇気も必要なのさ。"""
st_042210_0040#0,"""今日は退こう。<br>だがキミたちのデータは覚えたよ。<br>八坂火継に<%me>。"""
st_042210_0050#0,"""次に会うときは……マザーも<br>ビジネスも関係なしに、潰してあげよう。<br>遠慮も考慮も、一切なしだ。"""
st_042210_0060#0,"""１．深追いは危険だ"""
st_042210_0070#0,"""２．それよりも重要なことがある"""
st_042210_0080#0,"""……そう、だね。<br>無理すると、何があるかわからないし。"""
st_042210_0090#0,"""……！<br>コオリ……！"""
st_042210_0100#0,"""……ヒツギちゃん、嘘だよね。<br>ヒツギちゃん、わたしたちを裏切ったなんて<br>ぜったいに、嘘だよね。"""
st_042210_0110#0,"""わたしはヒツギちゃんを信じてる。<br>ヒツギちゃんを疑ったことなんて、ない。<br>けど……けど…………っ！"""
st_042210_0120#0,"""コオリ……あたしは、裏切ってなんか……"""
st_042210_0130#0,"""だったらどうして！\u3000どうしてマザーの<br>言うことに逆らうの！\u3000どうして……！<br>どうしてなの、ヒツギちゃん……！"""
st_042210_0140#0,"""戻ってきてよヒツギちゃん！<br>こっちに来て、わたしの手を取って<br>わたしのそばに……一緒にいてよ……！"""
st_042210_0150#0,"""……コオリ。<br>ごめん、あたしはもう、戻れない。"""
st_042210_0160#0,"""っ！！"""
st_042210_0170#0,"""何が正しくて、何が間違っているのか<br>自分の目で、自分の心で決めたいから……<br>あたしは<%me>と行く。"""
st_042210_0180#0,"""……って。<br>待って、ヒツギちゃん！"""
st_042210_0190#0,"""ごめん、コオリ……本当にごめん。"""
st_042210_0200#0,"""待って、ヒツギちゃん！！<br>ヒツギちゃあああぁん！！！"""
st_042210_0210#0,"""うっ……ううっ……うっ……<br>ヒツギちゃん、ヒツギちゃん……<br>どうして、どうして……！"""
st_042210_0220#0,"""ずっと一緒にいるって、約束したのに……<br>どうして、ヒツギちゃん……どうして……！"""
st_042210_0230#0,"""鷲宮氷莉。<br>君が泣く理由は何だ。"""
st_042210_0240#0,"""え……"""
st_042210_0250#0,"""奪われたことを嘆くのならば……<br>喪ったことを悲しむのならば……<br>固く手を握り、強く意志を持て。"""
st_042210_0260#0,"""その手に、友のぬくもりを<br>取り戻したいのならば。"""
st_042210_0270#0,"""……ヒツギ、ちゃん。"""
st_042210_0280#0,"""君の願いを、私は識っている。"""
skit01#0,"""-Illusion Dimension-"""
skit02#0,"""幻創の現実"""
