name01#0,"""Hilda"""
name01#1,"""ヒルダ"""
11_voice_navi02_103#0,"""เอาล่ะ ดูเหมือนว่าจะอุ่นเครื่อง<br>พอแล้วนะ ถ้าอย่างนั้นต่อไป<br>ก็จะเป็นการสอนขั้นตอนในการโจมตี"""
11_voice_navi02_104#0,"""ถ้างั้นเริ่มจากการใช้อาวุธกันก่อนเลยล่ะกัน"""
text00#0,"""เกี่ยวกับ [วิธีการโจมตี] ของ Hunter"""
text01#0,"""Tutorial: อธิบายเกี่ยวกับ [วิธีการโจมตี] ของ Hunter<br><br>Hunter คือ Class ที่มีความเชี่ยวชาญในการใช้อาวุธระยะประชิด <br>เราจะเริ่มจากการฝึกใช้ [Sword] ซึ่งเป็นอาวุธระยะประชิดก่อน"""
text02#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา<br>ลองกดโจมตีจริงๆ กันเลยดีกว่า"""
text03#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา<br>ลองกดโจมตีจริงๆ กันเลยดีกว่า"""
text100#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา!"""
text1000#0,"""กด <%NormalAttack> เพื่อโจมตีธรรมดา!"""
11_voice_navi02_103#1,"""よし、ウォーミングアップは<br>十分なようだな。<br>では、攻撃手段の指南に移るぞ。"""
11_voice_navi02_104#1,"""さあ、実際に武器を使ってみるんだ。"""
text00#1,"""ハンターの『攻撃方法』について"""
text01#1,"""チュートリアル<br>ハンターの『攻撃方法』について、説明します。<br><br>ハンターは打撃武器を得意とする戦闘タイプです。<br>打撃武器「ソード」を使った訓練を開始します。"""
text02#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br>実際に攻撃を行ってみましょう。"""
text03#1,"""<%NormalAttack>を押すことで、通常攻撃を行います。<br>実際に攻撃を行ってみましょう。"""
text100#1,"""<%NormalAttack>で通常攻撃を行え！"""
text1000#1,"""<%NormalAttack>で通常攻撃を行え！"""
11_voice_navi02_105#0,"""เรียนรู้ได้เร็วดีนะ หลักสูตรต่อไปคือ การโจมตีต่อเนื่อง 3 ครั้ง"""
11_voice_navi02_106#0,"""เอาหล่ะ ให้จับจังหวะ แล้วลองโจมตี 3 ครั้ง"""
text00#2,"""เกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\"" """
text01#2,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text02#2,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text03#2,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text04#0,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text05#0,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text06#0,"""Tutorial: อธิบายเกี่ยวกับ \""การโจมตีอย่างต่อเนื่อง\""<br>เมื่อกด <% NormalAttack> ซ้ำๆ หรือกดค้าง ก็จะทำการโจมตีอย่างต่อเนื่อง 3 ครั้ง"""
text100#2,"""กด <%NormalAttack> เพื่อโจมตีต่อเนื่อง 3 ครั้งดูซิ!"""
text1000#2,"""กด <%NormalAttack> เพื่อโจมตีต่อเนื่อง 3 ครั้งดูซิ!"""
11_voice_navi02_105#1,"""飲み込みが早くて助かるな。<br>続いてのカリキュラムは、<br>３段の連続攻撃だ。"""
11_voice_navi02_106#1,"""では、タイミングを取って<br>３段攻撃を行ってみろ。"""
text00#3,"""『連続攻撃』について"""
text01#3,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text02#3,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text03#3,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text04#1,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text05#1,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text06#1,"""チュートリアル<br>『連続攻撃』について説明します。<br><br><%NormalAttack>を連打、または押し続けることで、<br>３段攻撃を連続して行います。"""
text100#3,"""<%NormalAttack>で３段攻撃を決めろ！"""
text1000#3,"""<%NormalAttack>で３段攻撃を決めろ！"""
