ar_ca0100#0,"""Ultra-beginner Lesson [ARKS Road]"""
ar_ca0101#0,"""Beginner Lesson [Basic Battle Operations]"""
ar_ca0102#0,"""Beginner Lesson [Mags, Greenscape Area]"""
ar_ca0103#0,"""Intermediate Lesson [Basic ARKS Functions]"""
ar_ca0104#0,"""Intermediate Lesson [ARKS Ship]"""
ar_ca0113#0,"""Intermediate Lesson [Craft]"""
ar_ca0105#0,"""Intermediate Lesson [Cauldron - Lost Sea Area]"""
ar_ca0106#0,"""Intermediate Lesson [Weapon Upgrade]"""
ar_ca0107#0,"""Intermediate Lesson [Support Partner]"""
ar_ca0108#0,"""Intermediate Lesson [Additional Class]"""
ar_ca0109#0,"""Advanced Lesson [Unlock Level - Difficulty]"""
ar_ca0110#0,"""Advanced Lesson [Time Attack Quest]"""
ar_ca0111#0,"""Advanced Lesson [Advanced Quest]"""
ar_ca0112#0,"""Advanced Lesson [Extreme Quest]"""
ar_ca0180#0,"""Extra Lesson [Matter Board 1]"""
ar_ca0181#0,"""Extra Lesson [Matter Board 2]"""
ar_ca0182#0,"""Extra Lesson [Matter Board 3]"""
ar_ca0100#1,"""超初級授業『アークスロード』"""
ar_ca0101#1,"""初級授業『戦闘基本操作』"""
ar_ca0102#1,"""初級授業『マグ、森林エリア』"""
ar_ca0103#1,"""中級授業『アークス基本機能』"""
ar_ca0104#1,"""中級授業『アークスシップ』"""
ar_ca0113#1,"""中級授業『クラフト』"""
ar_ca0105#1,"""中級授業『火山洞窟・砂漠エリア』"""
ar_ca0106#1,"""中級授業『武器強化』"""
ar_ca0107#1,"""中級授業『サポートパートナー』"""
ar_ca0108#1,"""中級授業『追加クラス』"""
ar_ca0109#1,"""上級授業『レベル・難易度解放』"""
ar_ca0110#1,"""上級授業『タイムアタッククエスト』"""
ar_ca0111#1,"""上級授業『アドバンスクエスト』"""
ar_ca0112#1,"""上級授業『エクストリームクエスト』"""
ar_ca0180#1,"""番外授業『マターボード①』"""
ar_ca0181#1,"""番外授業『マターボード②』"""
ar_ca0182#1,"""番外授業『マターボード③』"""
