name_7619#0,"""ラスキナ"""
ssn_005020_0001#0,"""あっ、新しく来たアークスね？<br>よろしく！"""
ssn_005020_0002#0,"""ここに並んでいるのは、どれもアークスにとって<br>欠かせないショップだから、一度のぞいてみるといいわよ。"""
ssn_005020_0101#0,"""コクーンで経験を積んできたみたいね。<br>だったら、特殊なスキルを学んでもいい頃ね。"""
ssn_005020_0051#0,"""その特殊なスキルについて、教えてあげよっか？"""
ssn_005020_0052#0,"""よーし、じゃあ話してあげる。"""
ssn_005020_0102#0,"""アークスは、<br>クラスごとに固有のスキルを習得することができるわ。"""
ssn_005020_0103#0,"""私たちは、このスキルのことを、<br>“クラススキル”って呼んでいるの。"""
ssn_005020_0104#0,"""クラススキルは、シティのクラスカウンターで<br>覚えることができるわ。"""
ssn_005020_0105#0,"""あなたは“ハンター”だから、そうねえ……。<br>“マッシブハンター”と“パリングPA”がおススメ、かな。"""
ssn_005020_0106#0,"""あなたは“ファイター”だから、そうねえ……。<br>“リミットブレイク”と“リミットブレイクフォトンチャージ”がおススメ、かな。"""
ssn_005020_0107#0,"""あなたは“レンジャー”だから、そうねえ……。<br>“ウィークバレット”と“ディフューズシェル”がおススメ、かな。"""
ssn_005020_0108#0,"""あなたは“ガンナー”だから、そうねえ……。<br>“チェイントリガー”と“チェインブースト”がおススメ、かな。"""
ssn_005020_0109#0,"""あなたは“フォース”だから、そうねえ……。<br>“フォトンフレア”と“PPコンバート”がおススメ、かな。"""
ssn_005020_0110#0,"""あなたは“テクター”だから、そうねえ……。<br>“シフタデバンド”と“ウォンドエレメントチェンジ”がおススメ、かな。"""
ssn_005020_0111#0,"""さっそく行ってみて。"""
ssn_005020_0201#0,"""クラススキルを習得できたみたいね。<br>あたしがおススメしたのをちゃんと選んでくれた？"""
ssn_005020_0202#0,"""バッチリ使いこなせるようになってね。<br>期待してるから。頑張って！"""
ssn_005020_0301#0,"""そう、じゃあまた今度ね。"""
