11_voice_NPC_5020_104#0,"""เมื่อพูดถึงอาวุธของ Fighter ต้องนึกถึง Twin daggers"""
text02#0,"""พวกมันโจมตีได้อย่างรวดเร็วจนศัตรูไม่ทันตั้งตัว"""
text03#0,"""วิธีที่ดีที่สุดในการเรียนรู้คือลงมือจริง ไม่ใช่อ่านตำรา"""
text04#0,"""ที่จริงข้าก็มี Twin knives พิเศษอยู่ที่นั่น<br>จงเอามันไปฝึกและกลับมาหาข้าเมื่อสำเร็จแล้ว"""
text100#0,"""Twin Daggers"""
text101#0,"""Twin daggers คือาวุธที่เหมาะสมในการโจมตีขณะเคลื่อนที่"""
text102#0,"""มาดูพื้นฐานของการโจมตีด้วย Twin dagger และ photon moves<br><br>การกวัดแกว่งไปในอากาศ จะเป็นการเชือดเฉือนศัตรูอกเป็นชิ้นๆ <br>ทำให้เป็นเสมือนการผสมผสานการโจมตีและป้องกันเข้าด้วยกัน"""
11_voice_NPC_5020_104#1,"""ファイターの特徴的武装といえば<br>ツインダガーも忘れてはならない。"""
text02#1,"""圧倒的な攻撃速度を誇り<br>相手に息をつくひまも与えない<br>怒濤の連撃を繰り出すことが可能だ。"""
text03#1,"""まあ、基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ツインダガーを一つ用意してある。<br>これを使って少し練習してくるといい。"""
text100#1,"""『ツインダガー』について"""
text101#1,"""武器「ツインダガー」について、説明します。<br><br>ツインダガーは、移動しながら攻撃ができる打撃武器です。"""
text102#1,"""圧倒的な攻撃速度を誇り<br>相手に息をつくひまも与えない<br>怒濤の連撃を繰り出すことが可能だ。"""
