name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_100#0,"""หือ? Grenade launchers ไม่ระเบิดเหรอ?<br>ฮาฮา มันระเบิดแต่ช้าๆ!"""
text02#0,"""มันจะเป็นความรู้สึกในการฆ่าที่ไม่เหมือนการใช้ Rifle หรือ<br>Gunslash"""
text03#0,"""เมื่อข้าเห็นเลือดของศัตรูไหลรินออกมาดังสายฝน<br>ข้าอยากให้มันไม่มีวันหยุด!"""
text04#0,"""โอ..ท่านกำลังกำจัดศัตรูอยู่เหรอ? ขอโทษที่มารบกวน"""
text05#0,"""แค่นี้ล่ะ! ข้าหวังว่าท่านจะกลับมาพร้อมกับ<br>รายชื่อที่ได้กำจัดไปเป็นจำนวนมาก<br>ไปได้แล้ว!"""
11_voice_NPC_5026_100#1,"""どうですかあ？<br>ランチャー楽しいですよねえ。<br>豪快ですよねえ。"""
text02#1,"""ランチャーはアサルトライフルや<br>ガンスラッシュとはまた違った<br>気持ちよさがありますよねえ。"""
text03#1,"""着弾の大爆発で散り散りに吹き飛ぶ<br>その様を見るのとか……ふふっ<br>たまらないですよねえ。"""
text04#1,"""ああ、まだ敵さんを虐めている<br>最中でしたかあ？<br>ごめんなさい、邪魔しましたねえ。"""
text05#1,"""では、それが終わったら、一度報告に<br>来てもらえると嬉しいですねえ。<br>ではでは、ではではでは。"""
