Skit01_010#0,"""……お前が<br><%me>か……"""
Skit01_020#0,"""クララから話は聞いている……<br>俺はニクスという。<br>お前と同様クララに喚かれたくちだ。"""
Skit01_030#0,"""風の声を聞きに、任務へと<br>赴いた先にいたのがクララだ。"""
Skit01_040#0,"""それ以降はもう想像がつくだろう……？<br>邂逅する度、声を掛けられ<br>仲間になれと言われ続ける……"""
11_voice_NPC_5244_100#0,"""……断ろうが、こちらの都合など<br>お構いなしに、何度も何度も何度もだ。<br>それゆえにだ。"""
Skit01_060#0,"""これ以上、多くを語る必要はあるまい。<br>では、さらばだ。"""
Skit02_010#0,"""……新たに仲間とやらが<br>加わったとクララから聞いている。"""
Skit02_020#0,"""大方、俺を入れた時と同様に<br>邂逅する度に喚いたかして<br>無理矢理にでも入れたのだろう。"""
Skit02_030#0,"""無精者ではあるが……<br>実力者であるとは聞いた……"""
Skit02_040#0,"""お前ほどの者ならば<br>ひと目で見抜けるはずだ。"""
Skit02_050#0,"""これ以上、多くを語る必要はあるまい。<br>では、さらばだ。"""
Skit03_010#0,"""……ああ、お前か。"""
Skit03_020#0,"""仲間とうまくやっているか、だと？<br>……風にでも聞いてくれ。"""
Skit03_030#0,"""……それに、離脱するとでも言えば<br>また、喚かれかねないからな……"""
Skit03_040#0,"""これ以上、多くを語る必要はあるまい。<br>では、さらばだ。"""
text04001#0,"""風の声に喚ばれ、再び来てみたが……<br>ずいぶんと様変わりしているな。"""
11_voice_NPC_5244_101#0,"""まあ、いい。<br>俺のやることには何も変わりがない。"""
text04003#0,"""俺の力が必要なら、呼ぶといい。<br>それ以上の言葉は必要ないだろう。"""
linewindow001#0,"""ニクスをパートナーとして呼べるようになりました。"""
11_voice_NPC_5244_100#1,"""俺とて、常に戦地にあるわけではない。<br>穏やかな時間があるというのは<br>決して悪いことではないだろう。"""
