st_054090_0002#0,"""邪魔だァッ！"""
st_054090_0004#0,"""……倒れて！"""
st_054090_0006#0,"""ハッ……ハッ……！"""
st_054090_0010#0,"""敵反応、すべて消失……<br>エルミルも、すでにいません。"""
st_054090_0020#0,"""……なら、ここに用はねェ。<br>さっさと皇帝野郎を潰しに行くぞ。"""
st_054090_0030#0,"""えっ！<br>その、弔ってあげたりとかは<br>しなくてもいいんですか……"""
st_054090_0040#0,"""そんな無駄なことをしている時間は……<br>ぐっ……！\u3000ゴホッ、ガハッ！"""
st_054090_0050#0,"""げ、ゲッテムハルトさん！？"""
st_054090_0060#0,"""１．無理をするな"""
st_054090_0070#0,"""２．少しは休まないと"""
st_054090_0080#0,"""ハッ、笑わせんなよ。<br>それは死ねってのと同義だ。"""
st_054090_0090#0,"""ハッ、笑わせんな。<br>休んだ程度で治るものかよ。"""
st_054090_0100#0,"""私達の身体は、魔人兵の実験で<br>すでにボロボロなんです。<br>立ち止まってる暇なんてないぐらいに。"""
st_054090_0110#0,"""でも、そんな状態で無茶を重ねれば……"""
st_054090_0120#0,"""それでいいんだよ。<br>オレ達の命なんて、その程度でいい。"""
st_054090_0130#0,"""どれだけ生きたかじゃねえんだよ。<br>どんな風に生きたかが問題だ。"""
st_054090_0140#0,"""オレは、オレが今薙ぎ倒してきた<br>こいつらのようにはならねえ……！<br>ただこの手で、皇帝を討つのみ！"""
st_054090_0150#0,"""気遣ってもらえるのは嬉しいけど<br>……私も、ゲッテムハルトと同じ意見。"""
st_054090_0160#0,"""それに、さ。弔ってあげようにも<br>こうなると誰が誰だかわからないし<br>……これを、彼らと思いたくないから。"""
st_054090_0170#0,"""……お二人ともすごく怒ってます。<br>私でも、わかるぐらいです。"""
st_054090_0180#0,"""こんな非人道的なことが<br>許されるわけがありません。<br>……絶対に、止めましょう。"""
skit01#0,"""***"""
skit02#0,"""***"""
