st_052030_0010#0,"""なんだかものものしい雰囲気ですね。<br>……何しているんでしょう。"""
st_052030_0020#0,"""そこの貴様、何をしてる！"""
st_052030_0030#0,"""見ない顔だな……王の手の者か？"""
st_052030_0040#0,"""珍妙な恰好をした<br>怪しいやつめ！\u3000何者だ！！"""
st_052030_0050#0,"""あの、私達は敵ってわけでは……！"""
st_052030_0060#0,"""この小ささでしゃべった！？<br>なんだこいつは！"""
st_052030_0070#0,"""ええっ！？\u3000私みたいなのが<br>当たり前の世界じゃないんですか！<br>あーもう、どうすればいいんです！"""
st_052030_0080#0,"""何の騒ぎです？"""
st_052030_0090#0,"""は、ハリエット様！"""
st_052030_0100#0,"""お騒がせしてすみません。<br>怪しい者達が潜伏していたので<br>今まさに捕まえようと……"""
st_052030_0110#0,"""怪しい者……？"""
st_052030_0120#0,"""……貴方は！"""
st_052030_0130#0,"""い、いけません、ハリエット様！<br>危険です、下がってください！"""
st_052030_0140#0,"""どうして危険がありましょう。<br>この方は、私の客人ですよ。"""
st_052030_0150#0,"""客人！\u3000この方が！？<br>ですが、例えそうだとしても<br>この状況では……！"""
st_052030_0160#0,"""……ヴァルナ、私の副官としての<br>貴方の気遣い、ありがたく思います。"""
st_052030_0170#0,"""でも大丈夫です、私に任せてください。"""
st_052030_0180#0,"""……わかりました。"""
st_052030_0190#0,"""何かあったらお呼びください！<br>すぐに駆けつけますから！"""
st_052030_0200#0,"""ありがとう、ヴァルナ。"""
st_052030_0210#0,"""さあ、こちらへどうぞ。"""
st_052030_0220#0,"""ここは私専用の天幕です。<br>誰も邪魔は入ってきません。"""
st_052030_0230#0,"""<%me>様。<br>私のこと、覚えていらっしゃいますか？<br>つい先日、命を救っていただきました。"""
st_052030_0240#0,"""改めて、名乗らせてください。<br>私、ハリエット、と申します。"""
st_052030_0250#0,"""<%me>様。<br>不躾を承知で聞かせてください。"""
st_052030_0260#0,"""私達のこと……この国のこと……<br>……いえ、この世のことを<br>貴方はご存知でしょうか？"""
st_052030_0270#0,"""１．まったくわからない"""
st_052030_0280#0,"""２．知ってるふりをする"""
st_052030_0290#0,"""いやいや<%me>さん。<br>せっかく話が通じそうな人なんですし<br>素直に知らないって言いましょう！"""
st_052030_0300#0,"""……やはり、そうなんですね。"""
st_052030_0310#0,"""異邦の出で立ち……<br>私達のことを知らずに<br>しかし圧倒的な力を持つ人……！"""
st_052030_0320#0,"""まさしく、伝承の通りです！<br>私達はどれほど待ちわびたか……"""
st_052030_0330#0,"""伝承って、何ですか？"""
st_052030_0340#0,"""それは……"""
st_052030_0350#0,"""……えっと、外がなんだか<br>嫌な感じに賑やかになっていませんか？"""
st_052030_0360#0,"""ハリエット様！"""
st_052030_0370#0,"""入ってください。"""
st_052030_0380#0,"""国軍側に魔術士が到着！<br>召喚準備を行っている模様です！"""
st_052030_0390#0,"""……っ！<br>ここに魔神城を<br>喚び出すつもりなのですね。"""
st_052030_0400#0,"""召喚前に敵陣を叩き、これを止めます！<br>ヴァルナ、全員に出撃の連絡を！"""
st_052030_0410#0,"""い、いけませんハリエット様！<br>無謀です！\u3000ここは退きましょう！"""
st_052030_0420#0,"""……このまま退けば、ずるずると<br>本拠まで追いつめられてしまう。<br>そうなれば、終わりです。"""
st_052030_0430#0,"""それに……皆が戦っているのに<br>私だけ逃げ出すなど、出来るわけ<br>ないじゃないですか。"""
st_052030_0440#0,"""ハリエット様……"""
st_052030_0450#0,"""一点突破の速攻で勝負を決めます。<br>ヴァルナ、連絡を急いでください。"""
st_052030_0460#0,"""……すみません。<br>私も戦いに出ねばなりません。<br>説明はまた生きてお会いできた時に。"""
st_052030_0470#0,"""……どうするんですか<br><%me>さん。"""
st_052030_0480#0,"""１．言わなくても……"""
st_052030_0490#0,"""２．どうしようか？"""
st_052030_0500#0,"""……わかっています！<br>言われるまでもないですよ<br><%me>さん！"""
st_052030_0510#0,"""……わたしに気を遣って<br>くれているんですか？"""
st_052030_0520#0,"""でもですね、わたしは知ってます。<br><%me>さんは<br>こういうの、放っておけない人だって。"""
st_052030_0530#0,"""行きましょう！<br>ハリエットさんのところへ！"""
name01#0,"""兵士"""
name02#0,"""？？？"""
