un_013230_0010#0,"""啊，<%me>。<br>那個，最近有發生什麼怪事？"""
un_013230_0020#0,"""沒有就好，嗯。<br>只是有點在意而已。"""
un_013230_0030#0,"""該怎麼說好呢，<br>你好像被人觀察著呢？<br>感覺像是被人盯上......"""
un_013230_0040#0,"""是我誤會了吧，應該是啦。<br>抱歉，講了些奇怪的話。"""
un_013230_0050#0,"""我也知道<br>最近不斷有一些大事發生。"""
un_013230_0060#0,"""不過，沒有人告訴我<br>到底是發生了什麼事，<br>所以才會感到不安。"""
un_013230_0070#0,"""不要緊，我沒事的。<br>因為，有你來到我身邊，<br>所以很安心，沒事的。"""
un_013230_0080#0,"""我回來了。<br>有東西要<br>雖然只能和你說話而已......"""
un_013230_0090#0,"""但是，我會努力做到<br>至少讓你在和我說話的時候<br>能夠放下心來。"""
un_013230_0100#0,"""嗯。我會加油。<br>所以，歡迎隨時來找我。"""
un_013230_0110#0,"""我會一直在這裡等著你。"""
