name01#0,"""ヒルダ"""
cu_090010_0010#0,"""オペレーターのヒルダだ。<br>これより修了任務を開始する。"""
cu_090010_0020#0,"""まず、視界の確保を行う。<br>周囲を見回してみろ。"""
skit03#0,"""では、こちらの指定する位置まで<br>移動してみろ。焦るなよ。"""
text00#0,"""チュートリアルを受けますか？"""
text01#0,"""チュートリアルを受ける"""
text02#0,"""チュートリアルを受けない"""
cu_090010_0010#1,"""オペレーターのヒルダだ。<br>これより修了任務を開始する。"""
cu_090010_0020#1,"""まず、視界の確保を行う。<br>周囲を見回してみろ。"""
text201#0,"""カメラを操作して、周囲を見回せ！"""
text202#0,"""カメラを操作して、周囲を見回せ！"""
text203#0,"""視点を操作：マウス移動<br>※メインメニューの<br>オプションで速度や反転設定が可能"""
text204#0,"""視点を操作：<%RStick><br>※<%MainMenu>で開くメインメニューの<br>オプションで速度や反転設定が可能"""
text205#0,"""視点を操作：マウス移動<br>※メインメニューの<br>オプションで速度や反転設定が可能<br>※<%ChangeView>で肩越し視点へ変更"""
text206#0,"""視点を操作：<%RStick><br>※<%MainMenu>で開くメインメニューの<br>オプションで速度や反転設定が可能<br>※<%ChangeView>で肩越し視点へ変更"""
text207#0,"""視点操作"""
