Title#0,"""Nav Rappy Trapping"""
Explanation#0,"""เราอยากจะทำการสำรวจระบบนิเวศน์ของ <br>Nav Rappy ซึ่งเป็นหนี่งในสายพันธุ์ต้นกำเนิด <br>บนดาวเคราะห์ Naberius <br><br>ให้ทำการจู่โจม Nav Rappy ที่ปรากฏตัวใน Area 3 <br>ข้อมูลจะถูกเก็บโดยอัตโนมัติในระหว่างที่ Nav Rappyล้มลง <br>คุณสามารถจู่โจมได้อย่างต่อเนื่อง\u3000 <br>ถึงแม้ว่า Nav Rappyจะหลบหนีไปได้ก็ตาม <br>พวกมันมีลักษณะนิสัยชอบย้อนกลับมาที่เดิม <br>ให้ทำการจู่โจม Nav Rappyที่ปรากฏตัวใน Area 3"""
Title#1,"""ナヴ・ラッピー捕獲任務"""
Explanation#1,"""惑星ナベリウスの原生種に多く存在する<br>ナヴ・ラッピーの生態調査を行いたい。<br>直接交戦し、昏倒させることで<br>自動的にデータ収集は行われる。<br>ただし、不穏な空気を感じているのか<br>ナヴ・ラッピーはすぐに逃走してしまう。<br>逃さずに所定数のデータを収集せよ。"""
SimpleExplanation#0,"""จู่โจม Nav Rappy และรวบรวมข้อมูล!"""
SimpleExplanation#1,"""ナヴ・ラッピーを昏倒させ<br>データを収集せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
