Date#0,"""$(2)年$(1)月$(0)日"""
Date_v#0,"""$(2)/$(1)/$(0)"""
January#0,"""1"""
February#0,"""2"""
March#0,"""3"""
April#0,"""4"""
May#0,"""5"""
June#0,"""6"""
July#0,"""7"""
August#0,"""8"""
September#0,"""9"""
October#0,"""10"""
November#0,"""11"""
December#0,"""12"""
Date_NoYear#0,"""$(1)/$(0)"""
Sunday#0,"""日曜日"""
Monday#0,"""月曜日"""
Tuesday#0,"""火曜日"""
Wednesday#0,"""水曜日"""
Thursday#0,"""木曜日"""
Friday#0,"""金曜日"""
Saturday#0,"""土曜日"""
Short_January#0,"""1"""
Short_February#0,"""2"""
Short_March#0,"""3"""
Short_April#0,"""4"""
Short_May#0,"""5"""
Short_June#0,"""6"""
Short_July#0,"""7"""
Short_August#0,"""8"""
Short_September#0,"""9"""
Short_October#0,"""10"""
Short_November#0,"""11"""
Short_December#0,"""12"""
TimeCountSec#0,"""$(0)秒"""
TimeCount#0,"""$(0):$(1)"""
TimeCountHour#0,"""$(0):$(1):$(2)"""
TimeHour#0,"""$(0)時$(1)分"""
TimeHourJust#0,"""$(0)時"""
TimeDayOfHour#0,"""$(1)$(0)"""
Time#0,"""$(0)時$(1)分"""
TimeSec#0,"""$(0)時$(1)分$(2)秒"""
UtcYmdt_MonthDay#0,"""$(3)月$(0)日$(1)時$(2)分"""
UtcYmdt_YearMonthDay#0,"""$(4)年$(3)月$(0)日$(1)時$(2)分"""
DateTime#0,"""$(4)年$(3)月$(0)日$(1)時$(2)分"""
DateTime_v#0,"""$(4)/$(3)/$(0) $(1):$(2)"""
DateTimeSec#0,"""$(5)年$(3)月$(0)日$(1)時$(2)分$(4)秒"""
DateTimeSec_v#0,"""$(5)/$(3)/$(0) $(1):$(2):$(4)"""
EmptyDateTime#0,"""--年--月--日--時--分"""
Period#0,"""$(0)時間$(1)分"""
PeriodMin#0,"""$(0)分間"""
PeriodDay#0,"""$(0)日$(1)時間$(2)分"""
LeaveHour#0,"""$(0)時間$(1)分"""
LeaveMin#0,"""$(0)分"""
LeaveDay#0,"""$(0)日$(1)時間$(2)分"""
hyphen#0,"""--"""
LeaveTime#0,"""あと$(0)"""
LeaveDayOnly#0,"""$(0)日"""
LeaveHourOnly#0,"""$(0)時間"""
