Npc_7001001#0,"""マノン"""
Npc_7002001#0,"""アイナ"""
Npc_7002002#0,"""アイナ"""
Npc_7003001#0,"""ガロア"""
Npc_7004001#0,"""クロフォード"""
Npc_7005001#0,"""ブルーダー"""
Npc_7006001#0,"""ラン"""
Npc_7007001#0,"""リューリン"""
Npc_7008001#0,"""ロッサ"""
Npc_7009001#0,"""オランジェ"""
Npc_7010001#0,"""ナーデレフ"""
Npc_7017001#0,"""ハーディ"""
Npc_7018001#0,"""ジャリル"""
Npc_7019001#0,"""モフセン"""
Npc_7020001#0,"""ムーラ"""
Npc_7021001#0,"""リッス"""
Npc_7195001#0,"""スローナ"""
Npc_7196001#0,"""ダチュア"""
Npc_7197001#0,"""シャンレイ"""
Npc_7198001#0,"""ホロマン"""
Npc_7199001#0,"""グイーデン"""
Npc_7200001#0,"""カルテヴィエ"""
Npc_7201001#0,"""ソミュア"""
Npc_7203001#0,"""フランメ"""
Npc_7205001#0,"""ラボナ"""
Npc_7206001#0,"""ミイシャ"""
Npc_7207001#0,"""ユーティロイ"""
Npc_7208001#0,"""クロシェ"""
Npc_7209001#0,"""エテルナ"""
Npc_7210001#0,"""トラヴィス"""
Npc_7211001#0,"""シャンディー"""
Npc_7212001#0,"""クレイトン"""
Npc_7213001#0,"""グライフ"""
Npc_7214001#0,"""ラフィカ"""
Npc_7215001#0,"""カタリナ"""
Npc_7216001#0,"""ウラガン"""
Npc_7217001#0,"""アルシオーネ"""
Npc_7218001#0,"""サエッタ"""
Npc_7220001#0,"""￥ソニック"""
Npc_7221001#0,"""￥テイルス"""
Npc_7222001#0,"""￥エミー"""
Npc_7223001#0,"""￥エッグマン"""
Npc_7224001#0,"""シトレー"""
Npc_7400001#0,"""デュアドラ"""
Npc_7417001#0,"""ディグホール"""
Npc_7418001#0,"""ベルクマン"""
Npc_7419001#0,"""ボノ"""
Npc_7420001#0,"""ハンプデン"""
Npc_7421001#0,"""アリエテ"""
Npc_7422001#0,"""ダーナ"""
Npc_7423001#0,"""バフィン"""
Npc_7424001#0,"""リアメイ"""
Npc_7425001#0,"""ロナルディン"""
Npc_7602001#0,"""バリー"""
Npc_7604001#0,"""アグリ"""
Npc_7605001#0,"""イジー"""
Npc_7606001#0,"""ダリ"""
Npc_7607001#0,"""アジェ"""
Npc_7608001#0,"""オットー"""
Npc_7609001#0,"""モーリエ"""
Npc_7610001#0,"""ウェイクス"""
Npc_7611001#0,"""ナンデル"""
Npc_7612001#0,"""ホクシー"""
Npc_7613001#0,"""トウエン"""
Npc_7617001#0,"""ラスキナ"""
Npc_7618001#0,"""セイマー"""
Npc_7619001#0,"""バルメ"""
Npc_7622001#0,"""ケンジンス"""
Npc_7623001#0,"""ノーリシモ"""
Npc_7632001#0,"""ルル"""
Npc_7633001#0,"""ニコ"""
Npc_7634001#0,"""ロロ"""
Npc_7635001#0,"""スーラ"""
Npc_7636001#0,"""ヴェラ"""
Npc_7637001#0,"""ジュリ"""
Npc_7638001#0,"""アーネスト"""
Npc_7642001#0,"""ラル"""
Npc_7643001#0,"""レッジス"""
Npc_7645001#0,"""ルーディー"""
Npc_7646001#0,"""ビル"""
Npc_7648001#0,"""ファイン"""
Npc_7649001#0,"""ボージ"""
Npc_7653001#0,"""マチルダ"""
Npc_7654001#0,"""コミューナ"""
Npc_7655001#0,"""ウェズリー"""
Npc_7656001#0,"""セグレット"""
Npc_7657001#0,"""アディラ"""
Npc_7658001#0,"""ラドマッグ"""
Npc_7660001#0,"""スタッギィ"""
Npc_7661001#0,"""バシニア"""
Npc_7662001#0,"""ダントレイ"""
Npc_7663001#0,"""シャルキ"""
Npc_7664001#0,"""ホーニャン"""
Npc_7667001#0,"""ネスカ"""
Npc_7687001#0,"""トレイシス"""
Npc_7688001#0,"""ディメンテルナ"""
Npc_7690001#0,"""ニムロード"""
Npc_7693001#0,"""イリーダ"""
Npc_7694001#0,"""ライサンダー"""
Npc_7695001#0,"""ツカーノ"""
Npc_7696001#0,"""ムリーヤ"""
Npc_7700001#0,"""シェリダン"""
Npc_7702001#0,"""チコーニャ"""
Npc_7705001#0,"""リンチェ"""
Npc_7707001#0,"""マーリン"""
Npc_7708001#0,"""食事中カップル男"""
Npc_7709001#0,"""食事中カップル女"""
Npc_7710001#0,"""ルスラン"""
Npc_7711001#0,"""ロアーラ"""
Npc_7712001#0,"""ゲパルト"""
Npc_7713001#0,"""ラスタ"""
Npc_7714001#0,"""グラート"""
Npc_7717001#0,"""ビバリー"""
Npc_7718001#0,"""ウォーラス"""
Npc_7719001#0,"""ラーテル"""
Npc_7720001#0,"""ルーイカット"""
Npc_7903001#0,"""ダルゲ"""
Npc_7904001#0,"""ダチュア"""
Npc_7905001#0,"""シャマール"""
Npc_7906001#0,"""シャンレイ"""
Npc_7907001#0,"""ホサーニャ"""
Npc_7908001#0,"""ホロマン"""
Npc_7909001#0,"""エグザ"""
Npc_7910001#0,"""ヴェステ"""
Npc_7991001#0,"""クロ"""
Npc_7992001#0,"""シロ"""
Npc_7993001#0,"""Npc_7993001"""
Npc_7994001#0,"""Npc_7994001"""
Npc_7995001#0,"""Npc_7995001"""
Npc_ArksTrainer#0,"""アークス教導官"""
Npc_CounterQuest1#0,"""アークスヒストリー：歴史研究員"""
Npc_CounterSalon1#0,"""エステ：店員"""
Npc_CounterLab1#0,"""アイテムラボ：強化技師"""
Npc_ClassCounter#0,"""クラスカウンター：管理官"""
Npc_EmergencyCounter#0,"""緊急クエスト管理官"""
Npc_KitchenPolice#0,"""フードスタンド：店員"""
Npc_Appraiser#0,"""アイテムラボ：鑑定士"""
Npc_MyShop#0,"""マイショップ：店員"""
Npc_ItemShop#0,"""アイテムショップ：店員"""
Npc_RecycleShop#0,"""アイテムトレーダー"""
Npc_Restaurant#0,"""レストコーナー：案内員"""
