st_061110_0010#0,"""……很頑強。<br>比想像中效率還差啊。<br>這樣的話差距就越來越大了。"""
st_061110_0020#0,"""所以。"""
st_061110_0030#0,"""我要認真了。"""
st_061110_0040#0,"""什麼！"""
st_061110_0050#0,"""傑諾先生！"""
st_061110_0060#0,"""咦？<br>這樣還沒有死嗎？"""
st_061110_0070#0,"""……啊、原來如此。<br>那個武器、和我們一樣的傢伙嗎。<br>難怪這麼硬。"""
st_061110_0080#0,"""但是、如果殺了主人的話<br>就沒關係了吧。"""
st_061110_0090#0,"""哎呀哎呀哎呀、真是<br>相當危險的情况啊。<br>莉莎、來的真及時啊。"""
st_061110_0100#0,"""……浪費時間的人又來了。"""
st_061110_0110#0,"""夠了。<br>去其他地方賺取分數吧。"""
st_061110_0120#0,"""傑諾先生！<br>不要緊吧、現在恢復一下……！"""
st_061110_0130#0,"""不……要緊……！<br>我還沒有……！　嗚！"""
st_061110_0140#0,"""炫耀自己的韌性非常好<br>但是現在不是可以帶著腳鐐<br>走路的情况。"""
st_061110_0150#0,"""如果不想被當作敵人的重點的話<br>就快點回去好嗎？<br>還是由莉莎來介錯？"""
st_061110_0160#0,"""莉莎小姐……"""
st_061110_0170#0,"""……不、說得沒錯。<br>在這個地方也派不上用場。"""
st_061110_0180#0,"""<%me>。<br>那些傢伙、相當糟糕。<br>不知道你能不能贏……"""
st_061110_0190#0,"""……雖然這不是我能說的<br>但要小心啊。"""
st_061110_0200#0,"""我想你應該知道<br>示巴比現在的那個強喲？<br>兩位是不是也迴歸比較好？"""
st_061110_0210#0,"""我必須幫助夏歐"""
st_061110_0220#0,"""即使那樣也不能逃"""
st_061110_0230#0,"""那麼那麼那麼<br>莉莎也一起去吧。"""
st_061110_0240#0,"""要隱藏自己、莉莎一個人<br>無法進入中樞部很困擾。"""
st_061110_0250#0,"""正想着要不要弄壞了再進去的時候<br>想到就在這一瞬間發現了兩位<br>真是太好了。"""
st_061110_0260#0,"""破壞、不能做那樣的事哦？"""
st_061110_0270#0,"""就算莉莎不做、敵人也會在之後<br>做同樣的事吧？"""
st_061110_0280#0,"""看吧。"""
st_061110_0290#0,"""<%me>！<br>莉莎小姐！　快點！"""
