Title#0,"""独極訓練：世壊の境界"""
Explanation#0,"""こちらは相応の実力を持つ者を<br>対象とした特別訓練プログラムである。<br>適時的確な判断を瞬時に下せる技術を<br>身に付けるため、全て「単独」で行い<br>本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>使用するには、２２時間に１回発行される<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""５つのステージを制覇せよ！"""
Area0S#0,"""VR空間(極) エリア"""
Area0L#0,"""VR空間(極) エリア"""
Area1S#0,""" VR空間(極) エリア"""
Area1L#0,""" VR空間(極) エリア"""
Area2S#0,""" VR空間(極) エリア"""
Area2L#0,""" VR空間(極) エリア"""
Area3S#0,""" VR空間(極) エリア"""
Area3L#0,""" VR空間(極) エリア"""
Area4S#0,""" VR空間(極) エリア"""
Area4L#0,""" VR空間(極) エリア"""
QuestInfoAreaName#0,""" VR空間(極)"""
a2#0,"""エクストリームパス\u3000１個の<br>支払いがキャンプシップにて必要。"""
