un_065150_0010#0,"""あっ、<%me>。<br>準備はどう？"""
un_065150_0020#0,"""わたしは、もちろん準備万端だよ。<br>……いよいよだね。"""
un_065150_0030#0,"""はいはーい！<br>それでは守護輝士のお二人に<br>突然ですが、質問です！"""
un_065150_0040#0,"""え、ええっ？<br>いきなり、なに……？"""
un_065150_0050#0,"""問題！\u3000守護輝士のお二人は<br>どんな思いで、今度の戦いに<br>挑むのでしょーか！？"""
un_065150_0060#0,"""質問じゃなくて<br>問題になっちゃってるよ<br>パティちゃん……"""
un_065150_0070#0,"""次の選択肢のうち、どっち！？<br>Ａ：死んでもシバを倒す！<br>Ｂ：絶対生きて帰ってくる！"""
un_065150_0080#0,"""もしもＡを選ぶなら<br>あたしが、ここを死んでも……"""
un_065150_0090#0,"""……どうしたの、パティちゃん？"""
un_065150_0100#0,"""いや、死んでも通さないって<br>言うつもりだったんだけど……<br>自己犠牲も、尊くない？"""
un_065150_0110#0,"""なぜ、そこで手のひらを返すの……"""
un_065150_0120#0,"""強敵に立ち向かい、絶体絶命！<br>その時！\u3000俺にまかせて先に行け！<br>これはこれで、燃えるじゃん！"""
un_065150_0130#0,"""まったく……<br>いい、パティちゃん？<br>１ひく１は、いくつ？"""
un_065150_0140#0,"""バカにしないで！<br>１に決まってるじゃん！"""
un_065150_0150#0,"""決まってないから……<br>答えは０でしょ？"""
un_065150_0160#0,"""あ、そっか……それで？"""
un_065150_0170#0,"""たとえ目的を達成できても<br>大切な人が死んじゃったら<br>１ひく１で、０なんだよ。"""
un_065150_0180#0,"""じゃあ、応用問題。<br>目的を達成できて<br>大切な人が生きて帰ったら？"""
un_065150_0190#0,"""だったら、１たす１で……<br>答えは、２だーっ！"""
un_065150_0200#0,"""はい、良くできました。<br>と言う訳です、お二人とも。"""
un_065150_0210#0,"""死の覚悟は必要と思います。<br>ですが、もし結果としてお二人を<br>失うようなことがあれば……"""
un_065150_0220#0,"""１ひく２は、わかんない！<br>でも言いたいことは<br>伝わったよね！"""
un_065150_0230#0,"""それでは、最初の質問の答えを<br>二人いっせいに、どーぞっ！"""
un_065150_0240#0,"""絶対生きて帰ってくる！"""
un_065150_0250#0,"""うん……わたしも約束するよ。<br>絶対、生きて帰ってくるね。"""
un_065150_0260#0,"""絶対に約束だからね！<br>破ったら、二人の恥ずかしい<br>情報をばらまいちゃうから！"""
un_065150_0270#0,"""え、ええっ！？<br>うそうそ、わたしそんなの<br>ないはず……"""
un_065150_0280#0,"""も、もしかしてあの時の……<br>そ……それとも、まさか<br><%me>にこっそり……"""
un_065150_0290#0,"""ま、マトイさん！<br>パティちゃんにだまされて<br>言っちゃだめですー！"""
