Active#0,"""PSE: $(0) Lv. $(1)"""
Fever#0,"""PSE Burst: $(0)"""
CrossFever#0,"""Cross Burst: $(0)"""
Active#1,"""【PSE】$(0) Lv$(1)"""
Fever#1,"""【PSE】$(0) Lv8"""
CrossFever#1,"""【PSE】$(0) Lv8"""
atp_strike#0,"""Melee Boost"""
atp_firearm#0,"""Range Boost"""
atp_technic#0,"""Photon Magic Boost"""
meseta_drop#0,"""Meseta Boost"""
pp_consumption#0,"""Lower PP Consumption"""
experience#0,"""XP Boost"""
rare_enemy#0,"""Rare Enemy Encounter Rate Boost"""
boost_enemy#0,"""Corrupted Hostile Encounter Rate Boost"""
photon_blast#0,"""Blast Gauge Acceleration"""
critical_up#0,"""Critical Hit Rate Boost"""
atkup_fire#0,"""Fire Boost"""
atkup_ice#0,"""Ice Boost"""
atkup_thunder#0,"""Lightning Boost"""
atkup_wind#0,"""Wind Boost"""
atkup_light#0,"""Light Boost"""
atkup_dark#0,"""Dark Boost"""
dropup_fire#0,"""Fire Bonus"""
dropup_ice#0,"""Ice Bonus"""
dropup_thunder#0,"""Lightning Bonus"""
dropup_wind#0,"""Wind Bonus"""
dropup_light#0,"""Light Bonus"""
dropup_dark#0,"""Dark Bonus"""
add_element#0,"""PSE026"""
justatk_up#0,"""Just Boost"""
weakhit_up#0,"""Weak Boost"""
pp_recover#0,"""PP recovery UP"""
zerorange_up#0,"""Zero Range Boost"""
rare_incident#0,"""Rare Trial Boost"""
atp_strike#1,"""打撃力UP"""
atp_firearm#1,"""射撃力UP"""
atp_technic#1,"""法撃力UP"""
meseta_drop#1,"""メセタ増加"""
pp_consumption#1,"""PP消費量減少"""
experience#1,"""経験値増加"""
rare_enemy#1,"""レアエネミー出現率UP"""
boost_enemy#1,"""ブーストエネミー出現UP"""
photon_blast#1,"""ブラストゲージ上昇率UP"""
critical_up#1,"""クリティカル率UP"""
atkup_fire#1,"""フレイムブースト"""
atkup_ice#1,"""アイスブースト"""
atkup_thunder#1,"""サンダーブースト"""
atkup_wind#1,"""ウィンドブースト"""
atkup_light#1,"""ライトブースト"""
atkup_dark#1,"""ダークブースト"""
dropup_fire#1,"""フレイムボーナス"""
dropup_ice#1,"""アイスボーナス"""
dropup_thunder#1,"""サンダーボーナス"""
dropup_wind#1,"""ウィンドボーナス"""
dropup_light#1,"""ライトボーナス"""
dropup_dark#1,"""ダークボーナス"""
add_element#1,"""PSE023"""
justatk_up#1,"""ジャストブースト"""
weakhit_up#1,"""ウィークブースト"""
pp_recover#1,"""PP回復UP"""
zerorange_up#1,"""ゼロレンジブースト"""
rare_incident#1,"""レアトライアルブースト"""
