st_065110_0450#0,"""請睜開眼吧、守護輝士！"""
st_065110_0460#0,"""還沒、還沒有結束！<br>我不會讓它結束！"""
st_065110_0470#0,"""你所建立的羈絆<br>答案就在其中！"""
st_065110_0480#0,"""這個力量、是你給我的……<br>是拯救一切的力量……"""
st_065110_0490#0,"""所以、這次……"""
st_065110_0500#0,"""就輪到我……來拯救你了！"""
st_065110_0510#0,"""切開不淨之物吧、天叢雲劍！"""
st_065110_0511#0,"""嗯！"""
st_065110_0512#0,"""哼！"""
st_065110_0513#0,"""哈！"""
st_065110_0514#0,"""啊！"""
st_065110_0515#0,"""呀啊！"""
st_065110_0516#0,"""去！"""
st_065110_0517#0,"""哈！"""
st_065110_0518#0,"""哈啊！"""
st_065110_0520#0,"""<%me>！"""
st_065110_0530#0,"""還沒呢！　還沒結束呢！"""
st_065110_0540#0,"""我、還沒有和你一起做任何事！<br>像普通女孩子那樣的事情、都還沒有做！"""
st_065110_0550#0,"""如果就這樣、什麼都不做的話……<br>如果就這樣繼續走向未來的話也許是可以。<br>可是、可是……那不是我想要的！"""
st_065110_0552#0,"""去！"""
st_065110_0553#0,"""嘿！"""
st_065110_0554#0,"""呀！"""
st_065110_0555#0,"""嗯！"""
st_065110_0560#0,"""……和你一起好嗎！"""
st_065110_0570#0,"""我想和你一起！"""
st_065110_0580#0,"""一起、去看未來！"""
st_065110_0590#0,"""所以……！"""
st_065110_0600#0,"""所以……！"""
st_065110_0610#0,"""所以……回來吧！"""
st_065110_0620#0,"""守護輝士……！"""
st_065110_0630#0,"""……<%me>！"""
st_065110_0640#0,"""<%me>啊！"""
st_065110_0650#0,"""……謝謝"""
st_065110_0660#0,"""互相慰勞的話<br>把那個想個辦法再說吧。"""
st_065110_0670#0,"""……<%me>體內分離出<br>壓倒性的，暗。<br>即使沒有依存之物、它還残存著……"""
st_065110_0680#0,"""光子族時代產生的<br>【深遠之暗】。作為其根源的暗的部分。<br>只有純粹的破滅意志。"""
st_065110_0690#0,"""無處可去、無處可依<br>在此時此刻、作為黑暗之力本身具現……"""
st_065110_0700#0,"""……不能放任不管。<br>無論哪個時代、哪個世界<br>都不會再讓任何人犧牲了！"""
st_065110_0710#0,"""這是……<br>……那種思念、我感受到了。"""
st_065110_0720#0,"""生命的思念……<br>不、是迄今為止所有的生命……<br>所有的願望、都集中在這裡。"""
st_065110_0730#0,"""那是、驅散黑暗的光……<br>……巨大的光芒。"""
st_065110_0740#0,"""萬象之力、彙聚於此。<br>至今為止的記錄、都是為了此刻。"""
st_065110_0750#0,"""讓我們、從這裡開始。<br>新宇宙的記憶。"""
st_065110_0760#0,"""你所構築的羈絆……<br>全部在現在集合。"""
st_065110_0770#0,"""超越現在、邁向前方！"""
