ssc_502040_0010#0,"""……なるほど。<br>これは、そういうことね……。"""
ssc_502040_0020#0,"""いやでも、そうなると……。<br>……あ、そうか。その場合は……。"""
ssc_502040_0030#0,"""なにをしているの？"""
ssc_502040_0040#0,"""なにか調べもの？"""
ssc_502040_0050#0,"""ひゃう!?"""
ssc_502040_0060#0,"""あっ、<%me>……ね。<br>びっくりしたわ。"""
ssc_502040_0070#0,"""んひゃ!?"""
ssc_502040_0080#0,"""あっ、そ、そうよ。<br>調べもの。"""
ssc_502040_0090#0,"""……前にも、こんなことがあったわね。"""
ssc_502040_0100#0,"""エネミーならすぐに気づけるのだけれど、<br>あなた気配を消す訓練でもしているのかしら。"""
ssc_502040_0110#0,"""……まあ、いいわ。"""
ssc_502040_0120#0,"""今は、このヴァンフォード研究所について、<br>調べているところなの。個人的にね。"""
ssc_502040_0130#0,"""ヴァンフォードという名は、<br>クロフォードの祖父からとられたものらしいわ。"""
ssc_502040_0140#0,"""ここの研究施設が、戦いで破壊される前に、<br>いろいろなことを調べて、アークスに技術をもたらした。"""
ssc_502040_0150#0,"""その功績をたたえて、<br>名を冠することになったようね。"""
ssc_502040_0160#0,"""彼の成果は、今のセントラルシティの運営や、<br>ドールズとの戦いにも活かされているらしいわ。"""
ssc_502040_0170#0,"""当時あったものは、ドールズの大攻勢によって、<br>すべて破壊されてしまった。"""
ssc_502040_0180#0,"""ヴァンフォードは、施設の保全ではなく、<br>残された仲間を救うために、最前線で戦ったそうよ。"""
ssc_502040_0190#0,"""……それで、命を落とした。"""
ssc_502040_0200#0,"""偉大な人ね……。"""
ssc_502040_0210#0,"""そうした人たちが、<br>このハルファでは簡単にいなくなってしまう。"""
ssc_502040_0220#0,"""ここは、本当に……。"""
ssc_502040_0230#0,"""………。"""
ssc_502040_0240#0,"""クロフォードが、攻撃ではなく防御に専心しているのは、<br>この場所での出来事も関係していると思うわ。"""
ssc_502040_0250#0,"""彼もまた、失うことを恐れている。"""
ssc_502040_0260#0,"""それは、おそらく正しい判断。"""
ssc_502040_0270#0,"""セントラルシティの人々が、<br>安心して暮らせるのは、彼のおかげね。"""
ssc_502040_0280#0,"""私も、その一助になりたい。"""
ssc_502040_0290#0,"""自分も同じ気持ちだ。"""
ssc_502040_0300#0,"""そのために、強くならなくては。"""
ssc_502040_0310#0,"""ええ。<br>あなたなら、そう言ってくれると思ったわ。"""
ssc_502040_0320#0,"""ええ、そうね。<br>そのとおりだわ。"""
ssc_502040_0330#0,"""これからも、<br>よろしくお願いね。"""
