text01#0,"""<%me>。<br>ちょうどいいところに。<br>頼みたいことがあるんだ。"""
text02#0,"""先日の手分けしての調査によって<br>元の世界への道筋を掴んだ。"""
11_voice_NPC_5220_104#0,"""いや、厳密に道が繋がっている<br>わけではないんだが、おそらく<br>星霊が私たちを導いてくれるはずだ。"""
11_voice_NPC_5221_100#0,"""『幻視の巫女』がそう言うんだから<br>おそらく、じゃなくて間違いないぜ。<br>俺が保証する。"""
11_voice_NPC_5220_105#0,"""その言葉はありがたいが<br>お前に保証されてもな……"""
text06#0,"""ただ、その目的地が危険って話でさ。<br>なんだっけ、惑星ハルコタンの……？"""
text07#0,"""黒ノ領域、だ。以前の調査の際に<br>かの星の神子……スクナヒメ殿を<br>紹介され、少し話をさせてもらった。"""
text08#0,"""曰く、彼女にも心当たりのない<br>不可思議な力が集っているらしい。<br>暖かく、優しき力が。"""
text09#0,"""だが、それと同時によくないものも<br>集まっていると、仰っていた。<br>そこで、貴方に護衛をお願いしたい。"""
text10#0,"""今すぐに戻る、ってワケじゃないけど<br>いつでも戻れるように、準備と調査は<br>しっかりしておきたいんだ。"""
text11#0,"""手間を掛けるが、よろしく頼む。"""
