IncidentJsApcBegin#0,"""APC共闘開始"""
IncidentJsApcSuccess#0,"""APC共闘成功"""
IncidentJsApcFailure#0,"""APC共闘失敗"""
IncidentJsApcBeginEvo#0,"""APC共闘発展開始"""
IncidentJsApcSuccessEvo#0,"""APC共闘成功"""
IncidentJsApcBegin#1,"""/ci1 2 戦闘に巻き込まれているようだな。<br>私も手伝うとしよう。<br>格好は気にしないでくれ。"""
IncidentJsApcSuccess#1,"""/ci2 1 よし、これで落ち着けるな。<br>手伝ってくれて感謝する。"""
IncidentJsApcFailure#1,"""……くっ、やるな。<br>すまない、出直してくる。"""
IncidentJsApcBegin#2,"""/mn6 /ci2 1 あ、すみませんっ！<br>散歩してたら、巻き込まれちゃって……<br>手伝って頂けませんか？"""
IncidentJsApcSuccess#2,"""/mn38 /ci2 1 ありがとうございました！<br>わたしももっと強くなれるように<br>頑張ります！"""
IncidentJsApcFailure#2,"""ごめんなさい……！<br>わたしの力不足です。<br>先に撤退します……"""
