un_020370_0010#0,"""......ว่าไง เจ้าเองรึ รู้รึยังว่า Class ใหม่<br>ได้รับการยกเลิกคำสั่งห้ามแล้วนะ?"""
un_020370_0020#0,"""อันที่ชื่อว่า Samurai ไงล่ะ ตามที่ข้า<br>ได้ยินมาดูเหมือนว่ามี ARKS อยู่คนไปเสนอ<br>ความเหนือชั้นของมันจนได้รับการยอมรับ"""
un_020370_0030#0,"""ทว่า ยังไงซะมันก็คือ Class ใหม่<br>ซึ่งคงจะยังมีผู้ที่ไม่คุ้นอยู่มาก"""
un_020370_0040#0,"""ดังนั้นก่อนอื่นเลยควรจะสั่งสมประสบการณ์<br>ด้วยการจับคู่ปาร์ตี้กับ Hunter จะดีที่สุด """
un_020370_0050#0,"""ในทางกลับกัน เจ้าไม่ควรจะจับคู่ปาร์ตี้<br>กับ Wizard  ถ้าเป็น Wizard ล่ะก็มีหวัง<br>ต้องได้ปกป้องพวกมันไม่รู้จักจบจักสิ้นแน่"""
un_020370_0060#0,"""และนั่นก็จะทำให้ทั้งสองฝ่าย<br>ตกอยู่ในอันตราย"""
un_020370_0065#0,"""แต่นั่นก็อาจขึ้นอยู่กับคู่ที่จับด้วยล่ะนะ......<br>เพราะงานประลองฝีมือครั้งก่อนเอง<br>ก็เกิดปัญหานี้ขึ้นเช่นกัน"""
un_020370_0070#0,"""ยังไงก็แล้วแต่ หากจับคู่ปาร์ตี้กับ <br>Hunter  ก็จะปลอดภัยแน่นอน<br>อันตรายน่ะควรจะมีน้อยๆ จะดีกว่า"""
un_020370_0080#0,"""อย่าลืมซะล่ะ แล้วไว้เจอกัน"""
un_020370_0010#1,"""……よう、お前か。<br>新たなクラスが解禁されたことに<br>気づいているか？"""
un_020370_0020#1,"""ブレイバー、というやつだ。<br>聞くところによれば、アークスの一人が<br>優位性を提唱し、認可されたらしい。"""
un_020370_0030#1,"""だが、何にせよ新たなクラスだ。<br>まだ慣れているものも少ないだろう。"""
un_020370_0040#1,"""まずは、ハンターとパーティーを組み<br>盤石の体制で経験を積むのが一番だ。"""
un_020370_0050#1,"""逆に、フォースと組むのは<br>避けた方がいいだろうな。<br>フォースでは、守りきれんだろう。"""
un_020370_0060#1,"""双方が危険にさらされる<br>なんていうこともありうる。"""
un_020370_0065#1,"""組む相手にもよるだろうが……<br>この前の戦技大会でも<br>その問題はあったからな。"""
un_020370_0070#1,"""なにはともあれ、ハンターと<br>パーティーを組めば、安全。<br>危険は少ない方が良い。"""
un_020370_0080#1,"""くれぐれも忘れるなよ。<br>ではな。"""
