name01#0,"""ヒルダ"""
cu_090010_0120#0,"""次は、フォトンアーツの確認だ。<br>仮想標的を転送する。"""
cu_090010_0130#0,"""次は、テクニックの確認だ。<br>仮想標的を転送する。"""
text00#0,"""フォトンアーツ"""
text10#0,"""テクニック"""
text100#0,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text101#0,"""<%PhotonArts>でテクニックを放て！"""
text1000#0,"""<%PhotonArts>でフォトンアーツを決めろ！"""
text1001#0,"""<%PhotonArts>でテクニックを放て！"""
text201#0,"""フォトンアーツ（必殺技）で仮想標的をすべて破壊せよ！"""
text202#0,"""テクニック（法術）で仮想標的をすべて破壊せよ！"""
text203#0,"""フォトンアーツの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction_2>"""
text204#0,"""テクニックの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction_2><br>※長押しでチャージ<br>\u3000離すとテクニック発動"""
text205#0,"""フォトンアーツ（必殺技）を命令して仮想標的をすべて破壊せよ！"""
text206#0,"""フォトンアーツの発動：<%PhotonArts><br>※発動時にPPを消費<br>※通常攻撃を当てるとPPが回復"""
text207#0,"""フォトンアーツの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction>"""
text208#0,"""フォトンアーツの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction_2><br>※長押しでチャージ<br>\u3000離すとフォトンアーツ発動"""
text209#0,"""フォトンアーツの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction><br>※長押しでチャージ<br>\u3000離すとフォトンアーツ発動"""
text210#0,"""テクニックの発動：<%PhotonArts><br>裏パレットに切り替え：<%WeaponAction><br>※長押しでチャージ<br>\u3000離すとテクニック発動"""
