11_voice_NPC_5019_100#0,"""ดีมาก รายงานของท่านยอดไปเลย<br>ดูเหมือนท่านจะใช้ Rod ได้ชำนาญแล้ว"""
text02#0,"""ท่านเริ่มต้นได้ดีแล้ว <br>ตอนนี้ก็เป็นช่วงเวลาที่จะเรียนรู้ต่อไป"""
text03#0,"""ท่านเก็บ Rod อันนั้นไว้ได้เลย หวังว่าคงชอบนะ"""
text04#0,"""ไว้เจอกันวันหลัง<br>อย่าให้รู้ว่าท่านขี้เกียจและไม่ฝึกฝนการใช้ Rod นะ"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Marlu มาเป็นพาร์ทเนอร์ได้แล้ว"""
text100#0,"""Client Order"""
text101#0,"""Joseph ได้ออก Client Order<br><br>ท่านสามารถพบเขาได้ที่ประตูด้านบน"""
11_voice_NPC_5019_100#1,"""……ご苦労様。見事な報告だったわ。<br>もう十分に使いこなしている、と<br>言っても過言じゃないぐらい。"""
text02#1,"""……それだけロッドを<br>使いこなせるのなら<br>もう心配はいらないと思う。"""
text03#1,"""……そのロッドは餞別、あげるわ。<br>いっぱい使ってあげてね。"""
text04#1,"""……それじゃ、私はこれで。<br>これからもロッドの習熟に<br>励んでね。"""
linewindow001#1,"""<br>マールーをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
