msc_023050_0010#0,"""……きゃっ!?"""
msc_023050_0020#0,"""び、びっくりしたわ。"""
msc_023050_0030#0,"""相変わらず、気配を消すのがうまいわね。"""
msc_023050_0040#0,"""それより、アイナの話、聞いたわ。"""
msc_023050_0050#0,"""指導教官として、<br>新人の育成を任されたそうね。"""
msc_023050_0060#0,"""頑張ると言っていた。"""
msc_023050_0070#0,"""アイナのことが心配？"""
msc_023050_0080#0,"""ひとりで、大丈夫……かしら。"""
msc_023050_0090#0,"""心配ではない……といったら、嘘になるわね。"""
msc_023050_0100#0,"""……でも、彼女は適応力が高いから、<br>きっとやれるはず。"""
msc_023050_0110#0,"""私も、頑張らないといけないわね。"""
msc_023050_0120#0,"""調査のこと？"""
msc_023050_0130#0,"""調子はどう？"""
msc_023050_0140#0,"""ええ……。"""
msc_023050_0150#0,"""そうね……。"""
msc_023050_0160#0,"""ルシエルにいた頃は、ハルファのことは、<br>なんでも知っているつもりでいたけれど……。"""
msc_023050_0170#0,"""今は知らないことのほうが、<br>多いと感じているわ。"""
msc_023050_0180#0,"""ルシエルからの操作がなくても、<br>ハルファは生態系が維持されるようになっている。"""
msc_023050_0190#0,"""そうした部分は、完全に自動化されているから、<br>私たちも構造は理解していないの。"""
msc_023050_0200#0,"""ハルファで製造されるドールズについても……。"""
msc_023050_0210#0,"""ドールズは止められない？"""
msc_023050_0220#0,"""やっぱり、プラントを破壊するしか……。"""
msc_023050_0230#0,"""……今すぐには……。"""
msc_023050_0240#0,"""それは、本当に最終手段……。"""
msc_023050_0250#0,"""まずは、各地のエネルギー供給について、<br>調べてみるつもり。"""
msc_023050_0260#0,"""あとは、ドールズの製造プロセスを、<br>あらためて確認するわ。"""
msc_023050_0270#0,"""きっと、いい方法が見つかる。"""
msc_023050_0280#0,"""期待してる。"""
msc_023050_0290#0,"""ええ。<br>必ず……。"""
msc_023050_0300#0,"""それが、私のやるべきことだから。"""
msc_023050_0310#0,"""私のことはいいわ。"""
msc_023050_0320#0,"""あなたは、アイナのことを、<br>見ていてあげて。"""
msc_023050_0330#0,"""わかってる。"""
msc_023050_0340#0,"""マノンも心配。"""
msc_023050_0350#0,"""お願いね。"""
msc_023050_0360#0,"""……わ、私は、本当に……大丈夫だから。"""
msc_023050_0370#0,"""それじゃ、行くわね。"""
msc_023050_0380#0,"""あなたも、頑張って。"""
