text01#0,"""ยินดีต้อนรับกลับมา <br>ท่านผ่านการทดสอบด้วยคะแนนที่ดีมากเลย"""
text02#0,"""ท่านยังไม่หมดแรงใช่ไหม?<br>ท่านยังมีงานอีกเยอะที่ต้องไปทำ"""
text03#0,"""ท่านเคยได้ยินสกิล Wired Lance Gear?<br>ข้าจะบอกท่านเมื่อท่านทำสำเร็จแล้ว"""
11_voice_NPC_5054_100#0,"""อัดลมหายใจให้เต็มปอดแล้วก็ตามมา<br>รีบใช้ให้มันคล่องซะ <br>ระหว่างที่ร่างกายยังไม่ลืมความรู้สึกนั้น"""
text100#0,"""Wired Lance Gear"""
text101#0,"""เมื่อท่านเรียนสกิล Wired Lance Gear <br>แถบ Gear จะปรากฏที่ด้านบนของ Weapon palette<br>โดยแถบ Gear จะเพิ่มขึ้นเมื่อท่านใช้Wired Lance โจมตี"""
text102#0,"""แถบ Gear จะเพิ่มถึง 3 บาร์และ Photon Move แต่ละครั้งที่ใช้จะใช้ 1 บาร์<br>โดย Photon Move ที่ใช้ เกจจะมีพลังมากขึ้น<br><br>แถบ Gear จะไม่ลดลงตลอดเวลา"""
text01#1,"""ご苦労だった。<br>今の特訓に合格したと認めよう。"""
text02#1,"""どうした？\u3000もう息切れか？<br>まだ次の特訓は残っているんだぞ？"""
text03#1,"""ところでワイヤードランスギアについて<br>知っているか？<br>君に伝えておこう。"""
11_voice_NPC_5054_100#1,"""呼吸を整えたらすぐにも来たまえ。<br>身体が忘れないうちに<br>徹底的に叩き込むといい。"""
text100#1,"""『ワイヤードランスギア』について"""
text101#1,"""ワイヤードランスのギアシステムについて、説明します。<br><br>スキル「ワイヤードランスギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ワイヤードランスの通常攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>ホールド系フォトンアーツを使用するとゲージを１つ分消費します。<br>ギアゲージを消費して放つフォトンアーツは、威力が増大されます。<br><br>時間経過によるギアゲージの減少はありません。"""
