a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""艦隊迎撃戦：妨害艦追撃"""
Explanation#0,"""敵艦隊からの攻撃、第一波の迎撃を確認。<br>反撃にはＡ．Ｉ．Ｓの起動が必要不可欠だが<br>敵艦上の装置が発する光子妨害波により<br>Ａ．Ｉ．Ｓの起動が阻害されている。<br>この問題を解消するため<br>敵戦艦へ強襲を仕掛け、搭載されている<br>Ａ．Ｉ．Ｓ妨害装置を全て破壊せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""本艦の進行方向上に<br>Ａ．Ｉ．Ｓ妨害装置が搭載された<br>敵戦艦を捕捉しました。"""
NpcComMsg2#0,"""このまま本艦が敵艦に接舷しますので<br>甲板から直接、敵艦に乗り込み<br>妨害装置をすべて破壊してください！"""
NpcComMsg1#1,"""敵ジャマー艦を捕捉しました。<br>残存エネミーを殲滅し、<br>A.I.Sジャマーを破壊してください。"""
SimpleExplanation#0,"""Ａ．Ｉ．Ｓ妨害装置を破壊せよ！"""
Area0S#0,"""艦隊交戦区域"""
Area0L#0,"""艦隊交戦区域\u3000セクター２展開エリア"""
