BuffToast_Prefix#0,"""の“Ｒマグブースト[全体]”により"""
BuffToast_Suffix#0,"""が付与されました。"""
RegionMag:AttackBuff#0,"""与ダメージ増加"""
RegionMag:QuestDropRareUp#0,"""レアドロップ倍率増加"""
RegionMag:ExpUp#0,"""獲得経験値増加"""
RegionMag:SeasonalPointUp#0,"""シーズンエネミー出現率上昇"""
BuffToast#0,"""$(1)の“Ｒマグブースト[全体]”により$(0)が付与されました。"""
MagName_1#0,"""常勝のリージョンマグ"""
MagName_2#0,"""練達のリージョンマグ"""
MagName_3#0,"""千金のリージョンマグ"""
MagName_4#0,"""常勝のリージョンマグ"""
MagName_5#0,"""練達のリージョンマグ"""
MagName_6#0,"""千金のリージョンマグ"""
MagName_7#0,"""常勝のリージョンマグ（耐寒型）"""
MagName_8#0,"""練達のリージョンマグ（耐寒型）"""
MagName_9#0,"""千金のリージョンマグ（耐寒型）"""
MagName_10#0,"""常勝のリージョンマグ"""
MagName_11#0,"""練達のリージョンマグ"""
MagName_12#0,"""千金のリージョンマグ"""
