un_012320_0010#0,"""<%me> คุง<br>เธอก็มาตามหามังกรคลั่งนั่นเหมือนกันรึ?"""
un_012320_0020#0,"""เปล่า ชั้นไม่สนใจหรอก<br>เรื่องนั้นช่างก่อนเถอะ <br>ชั้นมีอะไรจะถามเธออย่างนึง"""
un_012320_0030#0,"""คิดว่ามังกรคลั่งที่ว่านั่น<br>เป็น Dragorii จริงๆ รึเปล่า?"""
un_012320_0040#0,"""...เท่าที่ชั้นรู้ Dragorii น่ะ เป็นสิ่งมีชีวิต<br>ที่มีภูมิปัญญาสูงส่ง สื่อสารโดยใช้กระแสจิต<br>แล้วยังติดต่อกับ ARKS เราด้วย"""
un_012320_0050#0,"""ไม่แน่ใจนะว่าพวกที่โดน D-arkers ครอบงำ<br>จะมีพฤติกรรมอย่างไร...<br>แต่ที่แน่ๆ คือสื่อสารกับมนุษย์ได้"""
un_012320_0060#0,"""...การจะไม่ให้ถูกรูปร่างภายนอกหลอกเอา<br>คือเราต้องสังเกตุให้ลึกซึ้ง<br>เรื่องที่จะพูด ก็มีเท่านี้แหละ"""
un_012320_0010#1,"""<%me>くん。<br>キミも噂の暴走龍を探してるのかい？"""
un_012320_0020#1,"""いや、私は特に興味はない。<br>というよりも、一つ疑問があるんだ。"""
un_012320_0030#1,"""噂に聞く暴走龍。<br>それは、本当に龍族なのかな？"""
un_012320_0040#1,"""……知っての通り、龍族は<br>高度な知能を持ち、念話をもって<br>アークスとも交流を計ってくる。"""
un_012320_0050#1,"""ダーカーの影響を受けたものは<br>如何ともしがたいが……<br>それだって、声は届くはずだ。"""
un_012320_0060#1,"""……見た目に騙されることなく<br>よくよく観察することだよ。<br>私から言えるのは、このぐらいかな。"""
