msc_020340_0005#0,"""Several days later"""
msc_020340_0010#0,"""Hey, Dad. We finally defeated Dark Falz, you know?"""
msc_020340_0020#0,"""Unfortunately, though..."""
msc_020340_0030#0,"""A new enemy showed up. Looks like it might be<br>a while until things are quiet around here again."""
msc_020340_0040#0,"""Sorry about that."""
msc_020340_0050#0,"""Just you wait, though."""
msc_020340_0060#0,"""We'll definitely see this through to the end."""
msc_020340_0070#0,"""Let's go. Crawford and them are waiting on us."""
msc_020340_0080#0,"""...Manon?"""
msc_011260_0050#0,"""この研究所跡は……。"""
msc_011260_0060#0,"""アークス各位に通達。"""
msc_011260_0070#0,"""“レゾルの森”、“ヴァンフォード研究所跡”で、<br>ドールズの出現を確認しました。"""
msc_011260_0080#0,"""付近のアークスは、<br>警戒態勢に移行してください。"""
msc_011260_0090#0,"""こちら、アイナ。"""
msc_011260_0100#0,"""アイナさん？\u3000どうしました？"""
msc_011260_0110#0,"""あたしたちも動けるよ。<br>なにをすればいいかな？"""
msc_011260_0120#0,"""では、ヴァンフォード研究所跡に向かってもらえますか？<br>現地の状況報告をお願いします。"""
msc_011260_0130#0,"""レゾルの森には、<br>ブルーダー隊が向かっていますので。"""
msc_011260_0140#0,"""わかった。すぐに出発するよ。"""
msc_011260_0150#0,"""研究所跡……、<br>まあ、今の私たちにはちょうどいいかもしれないわね。"""
msc_011260_0160#0,"""……当該エリアに、他のアークスがいるようです。<br>彼らと合流して対応してください。"""
msc_011260_0170#0,"""了解。"""
msc_011260_0180#0,"""私はこのまま出られるけれど、<br>ふたりとも、準備は？"""
msc_011260_0190#0,"""今からするよ！"""
msc_011260_0200#0,"""キミも、<br>準備ができたら集合ね。"""
