TrialName_1Enemy#0,"""討伐$(0)"""
TrialBeginMsg_1Enemy#0,"""打倒出現的$(0)！"""
TrialAbstract_1Enemy#0,"""打倒$(0)"""
TrialName_Multi#0,"""討伐敵人"""
TrialBeginMsg_Multi#0,"""打倒出現的敵人！"""
TrialAbstract_Multi#0,"""打倒敵人"""
NpcComOnForetaste#0,"""＊＊＊在那附近好像有需要警惕的敵人！<br>請儘快討伐。"""
NpcComOnBegin#0,"""＊＊＊"""
NpcComOnSuccess#0,"""＊＊＊偵測到敵人殲滅已被殲滅！<br>感謝各位的立即響應。"""
NpcComOnFailure#0,"""＊＊＊敵人撤退了。<br>……威脅暫時消失了。"""
NpcComOnForetaste#1,"""/voice11_voice_navi003_trial_0001_011 出現了$(0)的反應！<br>不要鬆懈，一絲不苟地打倒它！"""
NpcComOnBegin#1,"""/voice11_voice_navi003_trial_0001_046 這傢伙會到處亂跑，<br>最好用下墜攻擊來止住它的行動。"""
NpcComOnSuccess#1,"""/voice11_voice_navi003_trial_0001_070 很好！幹得漂亮！"""
NpcComOnFailure#1,"""/voice11_voice_navi003_trial_0001_074 唔－－，讓它跑了。<br>下次再打倒它吧！"""
