un_010110_0010#0,"""......อื๋อ อ้าว<br><%me> เองเหรอ<br>โทษที ข้ามัวแต่คิดถึงเรื่องเก่า ๆ อยู่นะ"""
un_010110_0020#0,"""นี่ <%me><br>ท่านเองก็ต้องเคยลิ้มรสความท้อแท้<br>บ้างไม่มากก็น้อยใช่รึเปล่า?"""
un_010110_0030#0,"""ข้าเองก็เคยลิ้มรสไอ้ที่มันสุด ๆ มา<br>เหมือนกันแค่นึกถึงก็ทรมานแล้ว<br>เป็นความทรงจำที่ไม่มีทางจะลืมได้"""
un_010110_0040#0,"""แต่ข้าก็พูดอะไรมากไม่ได้<br>ทำได้แต่ยอมรับแล้วก้าวผ่านมันมา<br>โดยมีพรรคพวกคอยช่วยเหลือ"""
un_010110_0050#0,"""......แต่สิ่งที่น่ากลัวที่สุดก็คือคงจะเป็น<br>พวกคนที่สติแตกเมื่อต้องเจอเรื่องแบบนั้น<br>แล้วก็เพี้ยนไปเลยล่ะมั้ง......"""
un_010110_0060#0,"""บางครั้งข้าก็เคยคิดว่า<br>ถ้าหากข้าลองทำทุกวิถีทางในตอนนั้น<br>บางทีผลที่ออกมาอาจจะเปลี่ยนไปก็ได้"""
un_010110_0070#0,"""......ขอโทษด้วย ที่พูดอะไรแปลก ๆ<br>รู้สึกว่าตอนที่ข้าพูดกับท่านทีไร<br>จะมีแต่เรื่องแบบนี้ตลอดเลย โทษทีนะ"""
un_010110_0080#0,"""ถ้างั้น ข้าไปก่อนล่ะ<br>เดี๋ยวข้าจะเคลียร์ทางข้างหน้าให้ท่านเอง<br>ตามมาแบบสบาย ๆ ได้เลย"""
un_010110_0010#1,"""……ん、ああ<br><%me>か。<br>スマン、ちょっと昔のことを考えてた。"""
un_010110_0020#1,"""なあ、<%me><br>お前さんも、多少なりは挫折とか<br>味わったこと、あるだろう？"""
un_010110_0030#1,"""俺も、とびきりのを味わった。<br>思い出すのも結構辛いが<br>忘れるわけにもいかない記憶だ。"""
un_010110_0040#1,"""ただまあ、俺はまだマシだな。<br>それを受け入れて、先に進めてる。<br>仲間や後輩にも恵まれたしな。"""
un_010110_0050#1,"""……一番かわいそうなのは<br>そこで折れて、狂っちまったヤツ<br>なんだろうな……"""
un_010110_0060#1,"""時々思うことがある。<br>何か、俺が手を尽くしてやってれば<br>変わったのかも知れない、って。"""
un_010110_0070#1,"""……悪い。ヘンな話をした。<br>なんかお前さんには<br>こういうことばっかりだな。すまん"""
un_010110_0080#1,"""そんじゃま、俺は行くぜ。<br>テキトーに露払いしておくから<br>お前さんはゆるゆる来な。"""
