text01#0,"""อาวุธใหม่สำหรับคลาสใหม่<br>ทุกคนก็เริ่มต้นกับแบบนี้"""
text02#0,"""จงเผชิญหน้ากับศัตรูด้วยความกล้าหาญ<br>มุ่งมั่นไปกับการฝึกฝน<br>ท่านจะเรียนรู้การใช้อาวุธใหม่ได้อย่างรวดเร็ว"""
11_voice_NPC_5057_100#0,"""เอาล่ะ พยายามเข้านะ"""
text100#0,"""Chain"""
text101#0,"""นี่คือระบบที่จะสร้างความเสียหายจำนวนมากให้กับศัตรู<br>ด้วยการโจมตีจาก Photon Move หรือการใช้ Photon Magic<br>หลังจากโจมตีปกติไประดับหนึ่ง"""
text102#0,"""Chain จะเริ่มเมื่อโจมตีโดนเป้าหมายและได้รับผลของ <br>Gunner Skill [Chain Trigger] เมื่อ Chain เริ่มขึ้น มันจะเพิ่มขึ้นเรื่อยๆ<br>ตามการโจมตีของท่านหรือปาร์ตี้ที่โดนเป้าหมายในช่วงระยะเวลาหนึ่ง"""
text103#0,"""Chain จะจบลงเมื่อผู้เริ่ม Chain โจมตีด้วย Photon Move <br>หรือชาร์จสร้างความเสียหายหลักให้กับเป้าหมาย<br><br>จงช่วยกันกับสมาชิกปาร์ตี้เพื่อใช้สกิลนี้ในการกำจัดศัตรูที่แข็งแกร่ง"""
text01#1,"""新しいクラスの新しい武装。<br>誰だって最初は初心者なの。"""
text02#1,"""恐れずに立ち向かい、研鑽しなさい。<br>そうすれば自ずと動きが身につくわ。"""
11_voice_NPC_5057_100#1,"""それじゃ、頑張ってね。"""
text100#1,"""『チェイン』について"""
text101#1,"""「チェイン」について説明します。<br><br>チェインは通常攻撃を重ねた後に<br>フォトンアーツかチャージテクニックを当てることで<br>敵に大ダメージを与えられる攻撃システムです。"""
text102#1,"""チェインは、ガンナーのスキル「チェイントリガー」を<br>発動した状態で攻撃を当てることで始まります。<br><br>開始後、一定時間内に攻撃を当て続けることで、<br>チェインがカウントアップされます。"""
text103#1,"""最後にチェインを発動したプレイヤーが<br>フォトンアーツかチャージテクニックを当てることで<br>フィニッシュとなり、莫大なダメージを与えます。<br><br>パーティーメンバーと協力して<br>強大なエネミーを攻略しましょう。"""
