text00#0,"""เกี่ยวกับ [ClientOrder]"""
text01#0,"""ปรากฏ Client Order Request จาก Jan<br><br>Jan อยู่ที่ ShoppingArea - SouthOuterPass"""
text02#0,"""ปรากฏ Client Order Request จาก Lola<br><br>Lola อยู่ที่ GateArea - MedicalCenter"""
text03#0,"""ปรากฏ Client Order Request จาก Marlu<br><br>Marlu อยู่ที่ GateArea - CentralHall"""
text04#0,"""ปรากฏ Client Order Request จาก Oza<br><br>Oza อยู่ที่ GateArea - CentralHall"""
text05#0,"""ปรากฏ Client Order Request จาก Lisa<br><br>Lisa อยู่ที่ GateArea - CentralHall"""
text06#0,"""ปรากฏ Client Order Request จาก Azanami<br><br>Azanami อยู่ที่ GateArea - CentralHall"""
text00#1,"""『クライアントオーダー』について"""
text01#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
text02#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
text03#1,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
text04#1,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
text05#1,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
text06#1,"""アザナミにクライアントオーダーが発生しました。<br><br>アザナミはゲートエリア・中央ホールにいます。"""
