un_061160_0010#0,"""……くそっ！<br>なんだよ、あのシバとかってヤツ！"""
un_061160_0020#0,"""あんなの卑怯だよ。<br>フォトンが効かないなんて……"""
un_061160_0030#0,"""センパイもみんなも<br>あんなに頑張ってたのに<br>歯が立たなかった……"""
un_061160_0040#0,"""センパイ……<br>おれ、悔しいよ……"""
un_061160_0050#0,"""また、守れなかった……<br>おれの力じゃ、どうにもならなくて。<br>どうすればよかったのかな……"""
un_061160_0060#0,"""なんとかする"""
un_061160_0070#0,"""みんなできることはした"""
un_061160_0080#0,"""ありがと、センパイ。<br>その言葉……すごく、安心する。"""
un_061160_0090#0,"""そうかな……<br>いや、たしかにできることはしたよな。<br>それでも、歯が立たなかっただけだ。"""
un_061160_0100#0,"""……おれ、あきらめないよ。<br>きっとまだ、やれることあるよな？<br>おれにもできること、あるはずだ。"""
un_061160_0110#0,"""命令されるがままに動くんじゃなく<br>この目で見て、考えて、自分の手で<br>後悔しない選択がしたいんだ。"""
un_061160_0120#0,"""おれの力なんて<br>ちっぽけかも知れないけど……<br>考えて、必死にやってみるよ。"""
un_061160_0130#0,"""少しでもセンパイに<br>褒めてもらえるように、さ……"""
un_061160_0140#0,"""あ、ち、ちがうから！<br>そういうんじゃないから！"""
un_061160_0150#0,"""……そ、それじゃおれ<br>できること探しにいくからっ！<br>またな、センパイっ！"""
