CHANGE_END#0,"""รับทราบค่ะ<br>เปลี่ยนเป็นคลาสนี้ค่ะ"""
CHANGE_END#1,"""了解しました。<br>このクラスになります。"""
CHANGE_END#2,"""เอาล่ะ ต่อไปก็<br>มาพยายามกันด้วยคลาสนี้นะ!"""
CHANGE_END#3,"""よし、これからは<br>このクラスで頑張るよ！"""
CHANGE_END#4,"""ทราบ...ทราบแล้วค่ะ<br>ต่อไปนี้ฉันจะพยายามด้วยคลาสนี้ค่ะ"""
CHANGE_END#5,"""わ、わかりました。<br>これからはこのクラスで、頑張ってみます。"""
CHANGE_END#6,"""ก็ได้<br>ต่อไปนี้ฉันจะปฏิบัติการด้วยคลาสนี้"""
CHANGE_END#7,"""いいだろう。<br>これからはこのクラスとして活動する。"""
CHANGE_END#8,"""โอเค!<br>ต่อไปนี้ฉันจะเปลี่ยนเป็นคลาสนี้!"""
CHANGE_END#9,"""オッケー！<br>オレ、これからはこのクラスになる！"""
CHANGE_END#10,"""ทราบแล้วค่ะ<br>งั้นต่อไปฉันจะเปลี่ยนเป็นคลาสนี้ค่ะ"""
CHANGE_END#11,"""かしこまりました。<br>それでは、これからはこのクラスで。"""
CHANGE_END#12,"""เออ!<br>งั้นจะเปลี่ยนเป็นคลาสนี้นะ!"""
CHANGE_END#13,"""ほいほい！<br>それじゃこれからはこのクラスで！"""
CHANGE_END#14,"""...ได้เลย<br>ต่อไปนี้ฉันจะเปลี่ยนเป็นคลาสนี้"""
CHANGE_END#15,"""……わかった。<br>わたしはこれから、このクラスだ。"""
CHANGE_END#16,"""อืม ได้<br>งั้น ต่อไปนี้ ข้าจะ<br>ลองพยายามด้วยคลาสนี้ดู"""
CHANGE_END#17,"""うん、わかった。<br>それじゃボク、これからは<br>このクラスでがんばってみるね。"""
