Title#0,"""Atrocious Ocean"""
Explanation#0,"""เรดาห์จับสัญญาณของ Chrome Dragon ได้ที่<br>บริเวณ Coast Area บนดาว Wopal<br>นอกจากนั้นยังมีศัตรูจากดาวอื่นหลายเผ่าพันธุ์<br>ปรากฏตัวขึ้นด้วย คาดว่าพวกมันถูกหอบเอามา<br>พร้อมการเคลื่อนที่ของ Chrome Dragon<br>ขอให้ ARKS ทุกนายรีบเข้าควบคุมสถานการณ์โดยด่วน<br>-------------------------<br>สะสม Quest Point ให้ครบ [1500] เพื่อผ่านภารกิจ<br>จะได้รับ Point ต่อเมื่อกำจัดศัตรูด้วยตนเอง"""
Title#1,"""造龍来たる魔の海域"""
Explanation#1,"""惑星ウォパルの海岸地域にて<br>クローム・ドラゴンの反応が検出された。<br>現地では海王種とダーカーに加え<br>原生種や機甲種の存在も確認されている。<br>クローム・ドラゴンの移動に巻き込まれ<br>空間を超えてきたものと推測される。<br>各員、直ちに出撃し、状況を調査せよ。<br>――――――――――――――――――――<br>クエストポイント【1500】達成でクリア<br>主にエネミーの撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัดศัตรู<br>และสะสม Quest Point !"""
SimpleExplanation#1,"""エネミーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
