name01#0,"""艾塔妮"""
11_voice_shop_413#0,"""好了，完成了。"""
text02#0,"""如果願意跟我說說話的話，<br>我可以告訴你<br>關於目標的一些建議。"""
text03#0,"""不知道目標是什麼的時候<br>請來找我。"""
text04#0,"""雖然這是另一個話題了。<br>我這邊也可以對於ARKS的基本知識<br>進行個人課程。"""
text05#0,"""有任何知識方面上不懂的事情的話，<br>我建議<br>不妨接受講習。"""
text06#0,"""這麼，就幫你蓋上印章。"""
name01#1,"""アスタルテ"""
11_voice_shop_413#1,"""はい、よく出来ました。"""
text02#1,"""私に話しかけて頂ければ、<br>目標に対するアドバイスを<br>お教え出来ます。"""
text03#1,"""目標がよく分からなくなった時には<br>私の元に来て下さい。"""
text04#1,"""また、別件になりますが私の所で<br>アークスの基本知識について<br>個人授業も行なっています。"""
text05#1,"""知識面で分からない事が<br>ありましたら受講を<br>お勧め致します。"""
text06#1,"""それでは、スタンプを押します。"""
