name01#0,"""Astalte"""
text01#0,"""ภารกิจปัจจุบันของท่านคือ..."""
11_voice_shop_414#0,"""ปฏิบัติภารกิจ ClientOrder <br><c bb0000>[Upgrade Elemental Attributes items!]<c><br>ให้ลุล่วง"""
text03#0,"""ดูเหมือนจะเป็น ClientOrder ของ Jan <br>ที่อยู่บริเวณ ShoppingArea นะ"""
text04#0,"""การจะบวกธาตุให้กับอาวุธนั้น<br>สิ่งแรกที่จำเป็นต้องมีคือ อาวุธอีกหนึ่งชิ้นที่มีธาตุติดมา<br>และเป็นชนิดเดียวกัน ชื่อเดียวกันเสียก่อน"""
text05#0,"""จากนั้นจึงค่อยเป็น Synthesizer กับ Meseta<br>และสุดท้ายคือความกล้า"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""クライアントオーダー<br><c bb0000>「愛用品の属性強化を！」<c>を<br>達成することです。"""
text03#1,"""ショップエリアにいるジャンさんの<br>クライアントオーダーのようですね。"""
text04#1,"""属性強化を行うために必要な物は<br>まず、属性が付与されている武器と<br>それと同種同名の武器。"""
text05#1,"""そして、シンセサイザーとメセタ。<br>最後に、勇気ですね。"""
