name01#0,"""カリン"""
skit01#0,"""うわーい、やりましたね！<br>全ステージのクリア達成ですよ！<br>いいデータもてんこもり！"""
skit02#0,"""ああ、ちなみに次回は<br>最初のステージから開始です！<br>気をつけて下さいね！ """
skit03#0,"""そのかわりに、魔石の原石を<br>たくさんプレゼントしちゃうので<br>次回も頑張ってくださいね！"""
skit04#0,"""なにはともあれ！\u3000今回も<br>ステージオーダー達成数に応じた数の<br>アイテム、持ってっちゃえー！"""
skit05#0,"""エクストリーム端末から<br>好きなの選んで下さいね。<br>ではでは、お疲れ様でした！"""
skit06#0,"""あと、別の魔石に変換するための<br>触媒なんかもサービスサービス！<br>おまけで持ってけー！"""
text01#0,"""カリンから『ブラッディムーンの原石』を４つ受け取りました。"""
text02#0,"""カリンから『ブラッディムーン触媒』を２個受け取りました。"""
text03#0,"""カリンから『ブラッディムーンの原石』を３つ受け取りました。"""
text04#0,"""カリンから『ブラッディムーンの原石』を１５個受け取りました。"""
text05#0,"""カリンから『ブラッディムーンの原石』を６０個受け取りました。"""
