IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""ขึ้นไปยัง $(0) แล้วกำจัด $(1)!"""
TrialAbstract#0,"""ขึ้นไปยัง $(0) แล้วกำจัดศัตรูไว้ตามที่กำหนด!"""
IncidentName#1,"""$(0)討伐"""
TrialBeginMsg#1,"""$(0)を$(1)体倒せ！"""
TrialAbstract#1,"""特定数の$(0)を討伐せよ！"""
NpcComOnBegin#0,"""ปฏิกริยาของ $(0) ปรากฏขึ้นในบริเวณนี้!<br>เตรียมพร้อมไว้!"""
NpcComOnSuccess#0,"""/face2 ไม่พบปฏิกริยาในระยะแล้ว!<br>ทำการลดระดับการเตือนภัยลงแล้ว"""
NpcComOnBegin#1,"""周囲に$(0)の<br>発生を確認！<br>アークス各員は警戒して下さい！"""
NpcComOnSuccess#1,"""/face2 目標の反応消失を確認！<br>戒厳令を解除します。"""
NpcComOnBegin#2,"""พบปฏิกริยาของ $(0) ปรากฏขึ้นในบริเวณนี้!<br>ขอให้ ARKS ทุกคนระวังตัวไว้"""
NpcComOnSuccess#2,"""เป้าหมายถูกขับไล่ไปแล้ว<br>ทำได้ดีมาก ทำการลดระดับการเตือนภัยลงแล้ว"""
NpcComOnBegin#3,"""周囲に$(0)の<br>発生を確認した。<br>各員、警戒を怠るなよ。"""
NpcComOnSuccess#3,"""目標の撃退を確認。<br>よくやった、戒厳令を解除する。"""
NpcComOnBegin#4,"""อ่า! ไม่จริงหน่า!<br>พบปฏิกริยาของ $(0) ในบริเวณนี้!<br>ระวังตัวไว้!"""
NpcComOnSuccess#4,"""/face2 ไม่พบปฏิกริยาของเป้าหมายแล้ว!<br>ทำได้ดีมาก!"""
NpcComOnBegin#5,"""ああっ！\u3000あああっ！<br>$(0)が周囲に<br>出てきました！\u3000気をつけて！"""
NpcComOnSuccess#5,"""/face2 目標反応、消失しましたー！<br>おつかれさまでしたっ！"""
