msc_023090_0010#0,"""ちょっといいですか？"""
msc_023090_0020#0,"""あなたが、アイナ教官たちと、<br>ダークファルスを倒したっていう……。"""
msc_023090_0030#0,"""そうだけど？"""
msc_023090_0040#0,"""えーと、キミたちは……。"""
msc_023090_0050#0,"""やっぱり！"""
msc_023090_0060#0,"""ああ、すみません！"""
msc_023090_0070#0,"""自分は、リクールって言います。"""
msc_023090_0080#0,"""アイナ教官の指導を受けています。<br>こっちは、ルカ。"""
msc_023090_0090#0,"""ル、ルカです。"""
msc_023090_0100#0,"""お会いできて嬉しいです。"""
msc_023090_0110#0,"""オレ、あなたたちのファンなんです！"""
msc_023090_0120#0,"""あなたたちのような強いアークスになりたくて、<br>戦闘団への入隊を決めたんです！"""
msc_023090_0140#0,"""ちょっと、リクール！<br>いきなり馴れ馴れしいでしょ！"""
msc_023090_0150#0,"""い、いいだろ！<br>せっかく会えたんだし。"""
msc_023090_0160#0,"""すみません……。<br>でも、みなさんに憧れてるのは本当です。"""
msc_023090_0170#0,"""アイナ教官に教えてもらえて、<br>感謝してます。"""
msc_023090_0180#0,"""アイナは、ちゃんとやれてる？"""
msc_023090_0190#0,"""アイナは、どんな印象？"""
msc_023090_0200#0,"""ええ、もちろん！"""
msc_023090_0210#0,"""……でも、オレはちょっと……。"""
msc_023090_0220#0,"""すごく、優しいかたです。"""
msc_023090_0230#0,"""……でも、ちょっと気になるのが……なぁ。"""
msc_023090_0240#0,"""な、なに言ってんのアンタ！"""
msc_023090_0250#0,"""いや、だってさ……。"""
msc_023090_0260#0,"""なにかあるなら言って。"""
msc_023090_0270#0,"""アイナに問題が？"""
msc_023090_0280#0,"""えっと……、その……。"""
msc_023090_0290#0,"""問題……ってわけじゃないんですけど。"""
msc_023090_0300#0,"""アイナ教官って、<br>フレンドリーでいいヒトなんですけど……。"""
msc_023090_0310#0,"""教えかたが独特っていうか、<br>クセが強いっていうか。"""
msc_023090_0320#0,"""言ってることが、<br>よくわからないときがあって……。"""
msc_023090_0330#0,"""わ、ワタシも最初は戸惑ったけど……、<br>最近はわかりやすく教えてくれてるでしょ？"""
msc_023090_0340#0,"""でもさぁ、この前のトレイニアでのテスト……。"""
msc_023090_0350#0,"""アイナ教官の指示よりも、<br>オレのやりかたのほうが成績よかったじゃん？"""
msc_023090_0360#0,"""それは、たまたま……。"""
msc_023090_0370#0,"""でも、別の訓練でもさぁ。"""
msc_023090_0380#0,"""うーん……。"""
msc_023090_0390#0,"""基礎だけ教えてもらったら、<br>あとは自分たちで練習したほうが、いいのかもって。"""
msc_023090_0400#0,"""自分も、誰からも教えてもらってない。"""
msc_023090_0410#0,"""もう少し、アイナの言うことを聞いてみて。"""
msc_023090_0420#0,"""や、やっぱりそうですよね？"""
msc_023090_0430#0,"""そ、そうなんですかねぇ……。"""
msc_023090_0440#0,"""アイナ教官、「どうしたいのか自分で考えて」って、<br>よく言ってるけど……。"""
msc_023090_0450#0,"""なんでも好き勝手にやっていいって、<br>意味じゃないと……思う。"""
msc_023090_0460#0,"""でもさぁ……。"""
msc_023090_0470#0,"""もう、いいから！"""
msc_023090_0480#0,"""ごめんなさい！<br>いきなりおしかけて、変な話しちゃって……。"""
msc_023090_0490#0,"""本当に、すみません。<br>ほら、行こう！"""
msc_023090_0500#0,"""えぇー、もうちょっとだけ……。"""
name01#0,"""？？？"""
