11_voice_NPC_5077_100#0,"""嗯，嗯嗯，合格！"""
text01002#0,"""というわけで、今年も恒例の<br>クリスマスパーティを開催するよ！"""
text01003#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
text01004#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
11_voice_NPC_5077_104#0,"""進步是什麼樣的感覺？<br>我會一直等你的！"""
11_voice_NPC_5077_100#1,"""クリスマスってわくわくするよねっ！<br>プレゼントとか、ケーキだとか<br>豪華な料理だとかっ！"""
text02102#0,"""準備している間も楽しいし<br>クリスマスって素敵だよねっ！"""
11_voice_NPC_5077_100#2,"""おつかれさまー！<br>たっくさんお手伝いしてくれて<br>ありがとうっ！"""
text03002#0,"""貴方のおかげで無事に<br>クリスマスパーティを<br>開催できそうだよっ！"""
text03003#0,"""<%me>！<br>真的很感謝！"""
text01#0,"""メリークリスマース！<br>クリスマスのシーズンが<br>やってきたね！"""
11_voice_NPC_5077_100#3,"""というわけで、盛大に<br>クリスマスパーティーを開催するよ！"""
text03#0,"""啊，抱歉抱歉。<br>我的名字叫希伊。"""
text04#0,"""我也是想請你幫忙。<br>不知道你能不能聽我說說呢？"""
text01#1,"""今どんな感じかなっ？<br>いつまででも待つからねっ！"""
11_voice_NPC_5077_100#4,"""クリスマスってわくわくするよねっ！<br>プレゼントとか、ケーキだとか<br>豪華な料理だとかっ！"""
text02#0,"""準備している間も楽しいし<br>ほんっとーに、素敵だよねっ！"""
text01#2,"""おつかれさまー！<br>たっくさんお手伝いしてくれて<br>ありがとうっ！"""
11_voice_NPC_5077_101#0,"""貴方のおかげで無事に<br>クリスマスパーティーを<br>開催できそうだよっ！"""
text03#1,"""<%me>！<br>真的很感謝！"""
