name01#0,"""Jan"""
name01#1,"""ジャン"""
text00#0,"""อืม ดีมาก !<br>ทำออกมาได้เยี่ยม !<br>สมัยหนุ่มๆฝีมือข้าก็ประมาณนี้เหมือนกัน..."""
text01#0,"""ทำได้ดีมาก !<br>รู้สึกได้ถึงความพยายามเลยทีเดียว !<br>พูดถึงความพยายาม ตอนสมัยหนุ่มๆ..."""
text02#0,"""เสร็จแล้วเรอะ !<br>อืม โอเค รับของเรียบร้อย<br>มีอะไรจะเล่าให้ฟัง เมื่อก่อนน่ะนะของแบบนี้..."""
text03#0,"""ขอบคุณ 03"""
text00#1,"""うむ、よろしい！<br>いい出来だ！<br>私も若い頃は依頼されると……"""
text01#1,"""よくやってくれた！<br>努力の賜物だな！<br>努力といえば、私も……"""
text02#1,"""出来たか！<br>うむ、確かに受け取ったぞ。<br>私も昔は、こうして……"""
text03#1,"""ありがとう03"""
text00#2,"""โอ้ ! ออกมายอดเยี่ยมมาก !<br>คิดไม่ผิดจริงๆที่วานเจ้า !<br>จริงสิ เห็นแล้วนึกถึงสมัยตอนยังหนุ่มๆเลย..."""
text01#2,"""ทำออกมาได้ยอดเยี่ยมอะไรอย่างนี้ !<br>สมกับที่คาดหวังไว้จริงๆ !<br>ข้าเอง สมัยก่อนก็..."""
text02#2,"""อืม เยี่ยม !<br>ดีกว่าของที่สั่งให้ทำทีแรกซะอีกนะ !<br>ฝีมือเหมือนกับข้าเมื่อก่อนไม่มีผิด..."""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""おお！\u3000素晴らしい成果だ！<br>君に頼んだ甲斐があったな！<br>そう、私も若い頃には……"""
text01#3,"""素晴らしい出来栄えだ！<br>頼んだかいがあった！<br>私もかつては……"""
text02#3,"""うむ、見事！<br>頼んだ以上の代物だ！<br>まるで昔の私を……"""
text03#3,"""本当にありがとう03"""
