name_7009#0,"""オランジェ"""
ssn_014050_0001#0,"""だいぶ、アークスとして経験を積まれたようですね。"""
ssn_014050_0002#0,"""そんなあなたに、ひとつお願いをしたいことがあるのですが、<br>聞いてもらえるかしら？"""
ssn_014050_0101#0,"""ふふっ……依頼を受けてくれて、<br>うれしいです。"""
ssn_014050_0102#0,"""実は最近、レゾルの森で、<br>これまでにない波長の電波が確認されているの。"""
ssn_014050_0103#0,"""その電波が、周囲のドールズに、<br>何かしらの影響を与えているらしくて。"""
ssn_014050_0104#0,"""まだ情報が足りなくて、詳しいことはわからないのだけど……。<br>調査を手伝ってもらえませんか？"""
ssn_014050_0105#0,"""電波を受けているドールズをとの交戦記録をとらせてほしいんです。<br>そうすれば、なにかわかるかもしれないので。"""
ssn_014050_0106#0,"""よろしくお願いしますね。"""
ssn_014050_0201#0,"""残念……、<br>気が向いたら、また来てくださいね。"""
ssn_014050_0301#0,"""任務に真剣に取り組むのはいいですけど、<br>あまり無茶はしないように。"""
ssn_014050_0302#0,"""いざという時は、<br>身の安全を最優先してくださいね。"""
ssn_014050_0401#0,"""とても危険な任務ですから、準備は入念に。"""
ssn_014050_0402#0,"""ブルーダーをお願いしますね。<br>みなさんが無事に帰還すること、願っています。"""
ssn_014050_0105_01#0,"""電波を受けているドールズとの交戦記録をとらせてほしいんです。<br>そうすれば、なにかわかるかもしれないので。"""
