11_voice_NPC_5011_105#0,"""...เฮ่อ<br>พอพอเลิกเลิก ไม่มีไอเดียดีๆเลย<br>หมดน้ำยาแล้วมั้งเรา..."""
11_voice_NPC_5011_105#1,"""……はぁ。<br>ダメじゃダメじゃ。何も思いつかん。<br>もうおしまいじゃなぁ……"""
11_voice_NPC_5011_104#0,"""ถ้าสิบปีที่แล้วก็ยังดีน้า...<br>ตอนเจอเรื่องตื่นเต้นยังรู้สึกใจสั่นบ้าง<br>ไม่อยากแก่เล้ยให้ตายสิ"""
11_voice_NPC_5011_104#1,"""十年前はよかったのぉ……<br>危機的であるが故に、心も震えた。<br>年は取りたくないもんじゃ。"""
11_voice_NPC_5011_100#0,"""แปลกใจที่เห็นข้าตื่นเต้นกับของแค่นี้งั้นเหรอ?<br>ฮะฮ่า อาจจะแปลกจริงอย่างว่าก็ได้"""
Jig_03_020#0,"""เจ้าเองเถอะ เวลาเจอกับศัตรูโหดๆ <br>ใจก็เต้นของมันเองถูกมั้ย?<br>ส่วนข้า ก็เป็นตอนเจออาวุธไง"""
11_voice_NPC_5011_100#1,"""もの一つ見るだけで<br>こうもやる気が変わるのが不思議か？<br>はっは、不思議かもしれんな。"""
Jig_03_020#1,"""だがお主とて、強敵に立ち向かうとき<br>自然と心震えるだろう？<br>わしの場合、それが武器なだけだ。"""
11_voice_NPC_5011_101#0,"""เรื่องซ่อมแซมอะไรนี่ชั้นไม่ค่อยสนใจหรอก<br>แต่นานๆทำซักทีก็สนุกอยู่เหมือนกัน<br>เจ้าอยากบอกว่าข้าควรทำงั้นเหรอ? """
11_voice_NPC_5011_101#1,"""修繕というのは門外漢だったが<br>なかなかどうして、面白いものだ。<br>やりがいがある、と言うべきかの？"""
11_voice_NPC_5011_100#2,"""อาวุธที่ข้าเคยผลิตมาเหรอ?<br>มีนับไม่ถ้วนทีเดียว แต่ไม่รู้ยังหลงเหลืออยู่เท่าไหร่นะ"""
Jig_05_020#0,"""ยังไงซะข้าก็ได้ชื่อว่าเป็นช่างล่ะนะ<br>ไม่ใช่ทำแค่อันเดียวเสร็จแล้วก็เลิก <br>มันก็ต้องทำต่อไปเรื่อยๆไม่สิ้นสุดอยู่แล้ว"""
11_voice_NPC_5011_100#3,"""わしがいままで作った武器か？<br>無数に存在するが、どれだけが<br>残存しているかは知らんなあ。"""
Jig_05_020#1,"""なにせ、わしは職人だからな。<br>一つ作り上げたら、次に心が向く。<br>そういうもんじゃ。"""
11_voice_NPC_5011_105#2,"""ถ้าหากไม่มีสงครามเมื่อสิบปีก่อน<br>ข้าอาจจะยังมีไฟในการทำอยู่ก็ได้"""
Jig_06_020#0,"""สงครามคราวนั้น ทำเอาคนที่รู้จักใช้<br>อาวุธล้มหายตายจากไปเกือบหมด<br>สงครามไม่เคยให้สิ่งที่ดีกับใครจริงๆ"""
11_voice_NPC_5011_105#3,"""十年前の戦争さえなければ<br>わしのやる気はいまだ滾っていたかも<br>しれんのぉ。"""
Jig_06_020#1,"""あの戦いで、有能な使い手が<br>ことごとく失われてしまった……<br>ひどい損害を出した戦いじゃった。"""
11_voice_NPC_5011_108#0,"""ต้นเหตุของสงครามเมื่อสิบปีก่อน ข้าเองก็ไม่รู้<br>แต่พูดก็พูด แม้แต่พวก ARKS เองก็คงไม่รู้<br>เหมือนกันนั่นแหละ"""
