name_7013#0,"""イルマ"""
msn_022061_0010#0,"""着いたみたいだね。<br>ああ、ちょうどそのあたりだよ。"""
msn_022061_0020#0,"""前にも話したかな？<br>ドールズは、スターレスを模して造られたんだ。"""
msn_022061_0030#0,"""だから、あらゆる部分で、<br>類似している可能性がある。"""
msn_022061_0040#0,"""生成のプロセスなんかもね。<br>……あくまで、仮説の段階だけど。"""
msn_022061_0050#0,"""だから、ドールズの製造過程を見直すことで、<br>なにかわかることもあるかもしれない。"""
msn_022061_0060#0,"""ってわけで、<br>そこのデータが欲しかったんだ。"""
msn_022061_0070#0,"""……よし。<br>話してるあいだに、だいたい取れたかな。"""
msn_022061_0080#0,"""それと……、<br>もうひとつ……。"""
msn_022061_0090#0,"""ロストセントラルのほうにも、行ってほしいんだよ。<br>僕と最初に会ったあの場所に。"""
msn_022061_0100#0,"""そっちも、着いてから詳しい話をするからさ。<br>まずは、向かってもらえるかな？"""
