un_065030_0010#0,"""……たしかに、仰るとおりです！<br>目の前が、パッと開けた思いです！"""
un_065030_0020#0,"""三人でいっぱい話をして<br>昔のように……いえ、昔よりも<br>ずっと仲良くなりたいです！"""
un_065030_0030#0,"""キョーくんも、ルコも……<br>私の、大好きな友達ですから！"""
un_065030_0040#0,"""ふふ、心が真っ直ぐな方ですね。<br>その友達を思う貴方の気持ちに<br>もっと自信をお持ちください。"""
un_065030_0050#0,"""はい、ありがとうございました！<br>それではしつれ……ってうわわわ！"""
un_065030_0060#0,"""立ち聞きするつもりはなかった"""
un_065030_0070#0,"""悩み相談？"""
un_065030_0080#0,"""とんでもありません！<br>むしろ気がつかなくて、恐縮です！"""
un_065030_0090#0,"""その、今の話は<br>内緒にしていただけませんか……？<br>で、ではこれで、失礼します！"""
un_065030_0100#0,"""ストラトスさん。<br>……この方は<br>よく聞こえなかったそうですよ。"""
un_065030_0110#0,"""あ、あれ？\u3000そうでした？<br>……よかった、なら大丈夫です！<br>では、私はこれで失礼します！"""
un_065030_0120#0,"""お待たせしました。<br>あ、ストラトスさんと話していたことは<br>他言無用でお願いしますね。"""
un_065030_0130#0,"""……最近、後輩によく相談されます。<br>私なんかに相談相手が務まるのかと<br>最初は心配だったのですが……"""
un_065030_0140#0,"""相談に乗るうちに<br>これが自分の「役割」のように<br>感じてきたんです。"""
un_065030_0150#0,"""こんな私に、できること。<br>こんな私だから、伝えられること。"""
un_065030_0160#0,"""あの方が残してくれた言葉のように<br>未来を見て、自分自身に向き合い<br>それで気づいたこと……"""
un_065030_0170#0,"""あれから、心の整理をつけながら<br>姉さんとあの方の話を聞かせてもらって<br>いろいろ見えてきたんです。"""
un_065030_0180#0,"""言葉にしなければ、何も伝わらない。<br>大切な人を理解できるはずがない……<br>今さら、思い知らされた気持ちです。"""
un_065030_0190#0,"""もう会えない姉さんとあの人の代わりに<br>悩んでいる後輩たちの相談に乗って<br>少しでも役に立つこと……"""
un_065030_0200#0,"""それが、私の新しい「役割」。<br>そう考えて、未来だけを見つめて<br>まっすぐに生きていこうと思います。"""
