name_7657#0,"""バシニア"""
ssn_005100_0001#0,"""ようこそセントラルシティへ。<br>歓迎するよ。"""
ssn_005100_0002#0,"""グイーデンから、初歩的なことを学んでいるところかな？<br>大変かもしれないけど、頑張ってね。"""
ssn_005100_0101#0,"""キミは、自分の“戦闘力”を把握してるかな？"""
ssn_005100_0051#0,"""もしも、“戦闘力”のことをわかっていないようであれば、<br>あたしが教えてあげるよ。"""
ssn_005100_0052#0,"""わかった。教えるよ。"""
ssn_005100_0102#0,"""“戦闘力”っていうのは、<br>“ステータス”から確認できるよ。"""
ssn_005100_0103#0,"""これは、各人のマグがそのヒトの身体的能力や、<br>装備している武器、防具のもつ力を計測して、数値化したものなんだ。"""
ssn_005100_0104#0,"""それらを合算した値が、戦闘力として表されるってわけ。"""
ssn_005100_0105#0,"""だからアークス自身が経験を積んだり、<br>武器を強化したりすれば、戦闘力が上がる。"""
ssn_005100_0106#0,"""ちなみに、戦闘力が足りないと、<br>チャレンジできない“タワー”があったりするよ。"""
ssn_005100_0107#0,"""あ、タワーっていうのは、コクーンと同じような訓練施設のこと。<br>コクーンより、数がだいぶ少なくて、攻略も難しいけどね。"""
ssn_005100_0108#0,"""もし入れないタワーがあったら、戦闘力を上げてみるといいよ。"""
ssn_005100_0201#0,"""お疲れさま。<br>無事にタワーを攻略できたみたいだね。見事なものだよ。"""
ssn_005100_0202#0,"""タワーはコクーンよりもスキルポイントを得られるし、<br>他にも見つけたら、チャレンジしてみてよ。"""
ssn_005100_0203#0,"""あ、それとね。戦闘力の制限があるのは、タワーだけじゃないんだ。<br>戦闘力が足りないと、参加できない任務もあったりするんだよ。"""
ssn_005100_0204#0,"""そういう時は、また同じように戦闘力を上げるといいと思うよ。<br>じゃ、引き続き頑張ってね。"""
ssn_005100_0301#0,"""知りたくなったら、また来てよ。"""
