text01001#0,"""Hello there!<br>You're an ARKS member, right?"""
11_voice_NPC_5121_100#0,"""Yeah, yeah yeah. You passed!"""
text01003#0,"""Ah. Sorry, sorry.<br>My name is Shea."""
text01004#0,"""There's something I'd like you to help me with. Will you hear me out?"""
11_voice_NPC_5121_104#0,"""How are you progressing? <br>I will wait as long as necessary! """
text03001#0,"""Well done! Thanks to you, everyone is just <br>blooming with smiles! """
11_voice_NPC_5121_101#0,"""I didn't even dream of this being such an event......<br>Thank you sooooo much!"""
text01001#1,"""こんにちはっ！<br>貴方、アークスよね？"""
11_voice_NPC_5121_100#1,"""うん、うんうん、合格っ！"""
text01003#1,"""あ、ごめんごめん。<br>わたしの名前はシー。"""
text01004#1,"""協力して欲しいことがあるんだけど<br>話を聞いてくれないかな？"""
11_voice_NPC_5121_104#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""お疲れ様っ！<br>貴方のおかげでみんなもう<br>笑顔笑顔、笑顔満開だよっ！"""
11_voice_NPC_5121_101#1,"""ここまでのイベントになるとは<br>思ってもみなかったなぁ……<br>ほんっとーに、ありがとう！"""
11_voice_NPC_5121_100#0,"""Festivities, Valentine's Day, so many things <br>that make people smile!<br>I've got to do my part in pumping things up!"""
11_voice_NPC_5121_100#1,"""お祝い事にバレンタインと<br>みんな笑顔になることばっかりだね！<br>わたしもしっかり盛り上げないと！"""
11_voice_NPC_5121_100#0,"""There's lots of things I'd like you to do!<br>I'm prepping for quite a few things, <br>so watch this space! """
11_voice_NPC_5121_100#1,"""やってもらいたいことたっくさん！<br>今、いろいろ準備してるから<br>待っててねっ！"""
