name_7418#0,"""ベルクマン"""
ssn_005090_0001#0,"""おう、新しいアークスか。よく来たな。"""
ssn_005090_0002#0,"""ここは俺のお気に入りの場所なんだ。<br>天気のいいときは、眺めも最高だしな。"""
ssn_005090_0101#0,"""聞いたところ、<br>あんたなかなか腕を上げてるらしいな。"""
ssn_005090_0051#0,"""そこで、ちとお願いしたいことがあるんだ。<br>頼まれてくれないか？"""
ssn_005090_0052#0,"""それじゃ、よろしく頼む。"""
ssn_005090_0102#0,"""マグナス山ってわかるか？<br>こっから見える、あの大きな山だ。"""
ssn_005090_0103#0,"""俺がこよなく愛する山のひとつだ。<br>……っと、今はその話は置いといて……。"""
ssn_005090_0104#0,"""あそこに、“ナグルス”っていうドールズがいる。<br>そいつを倒してほしいんだ。"""
ssn_005090_0105#0,"""かなり強いやつで、みんな手を焼いててな。"""
ssn_005090_0106#0,"""俺も一緒に行って、とっちめてやりたいんだが……。<br>あいにく俺はアークスじゃないからな……戦うことができない。"""
ssn_005090_0107#0,"""だから、素質があるあんたに頼みたいんだ。"""
ssn_005090_0108#0,"""ナグルスは、山でエネミーを倒してると、<br>番犬みたいに出てくるらしい。"""
ssn_005090_0109#0,"""大変だと思うけど、なんとか頑張ってくれ。"""
ssn_005090_0201#0,"""やったな。<br>すごいじゃないか！"""
ssn_005090_0202#0,"""みんな喜んでいる。<br>ありがとうな。"""
ssn_005090_0203#0,"""やっぱり、あんたに頼んで正解だった。<br>俺の目に狂いはなかったようだ。"""
ssn_005090_0204#0,"""これからも何かあったときは、よろしくな。"""
ssn_005090_0301#0,"""そうか……戦いには準備が必要だもんな。<br>急に頼んで悪かった。また今度頼む。"""
