ssc_504040_0010#0,"""やあ、よく来たね。"""
ssc_504040_0020#0,"""セントラルキャノンについて、<br>まとめていたところなんだ。"""
ssc_504040_0030#0,"""イルマの送ってくれたデータのおかげで、<br>各所の技術的な問題点を洗い出すことができた。"""
ssc_504040_0040#0,"""これもひとえに、<br>キミたちのおかげだ。"""
ssc_504040_0050#0,"""本当に、ありがとう。"""
ssc_504040_0060#0,"""みんなで頑張った。"""
ssc_504040_0070#0,"""イルマは優秀なんだね。"""
ssc_504040_0080#0,"""そうだね。"""
ssc_504040_0090#0,"""キミたちと五人兄妹が、<br>協力しあって解決に導いたと聞いているよ。"""
ssc_504040_0100#0,"""そうだね。"""
ssc_504040_0110#0,"""彼は、僕にない視点をたくさんもっている。<br>優秀なエンジニアだよ。"""
ssc_504040_0120#0,"""……イルマとの出会いは、ちょっと面白くてね。"""
ssc_504040_0130#0,"""ある日、僕がまとめたデータに、<br>ライブラリー上で、匿名の意見が寄せられたんだ。"""
ssc_504040_0140#0,"""読んでみたら、データの間違いが、<br>事細かに記されていてね。"""
ssc_504040_0150#0,"""そんな馬鹿なと思って、調べなおしてみたら、<br>確かに書かれているとおりだった。"""
ssc_504040_0160#0,"""それで、どんな相手だろうと思って、<br>アドレスを調べてみると……。"""
ssc_504040_0170#0,"""送信元はクヴァリス。"""
ssc_504040_0180#0,"""だとすると、思い当たるのはひとりだけ。"""
ssc_504040_0190#0,"""でも、以前交流のあったライサスが、<br>亡くなったのは知っていたから、驚いてね……。"""
ssc_504040_0200#0,"""ロッジに連絡したら、<br>イルマから応答があったというわけさ。"""
ssc_504040_0210#0,"""話してみると、<br>彼の機械いじりは独学らしくてね。"""
ssc_504040_0220#0,"""セオリーを無視した発想が、<br>僕には新鮮だった。"""
ssc_504040_0230#0,"""以来、彼にいろいろと<br>アドバイスを乞うようになったんだ。"""
ssc_504040_0240#0,"""セントラルキャノンのことについてもね。"""
ssc_504040_0250#0,"""彼は今、ライサスの遺した膨大な資料を<br>読みふけっているらしい。"""
ssc_504040_0260#0,"""これまでの独創性に、<br>理論が備わったら敵なしだね。"""
ssc_504040_0270#0,"""僕も、うかうかしていられないな。"""
ssc_504040_0280#0,"""……さて、そんなわけで、<br>セントラルキャノンの改修を進めていくことにするよ。"""
ssc_504040_0290#0,"""次の戦いに、<br>万全の態勢で臨むために、ね。"""
