name_7435#0,"""マミヤ"""
ssn_014910_0001_001#0,"""データ、確かに受け取ったよ。<br>ありがとさん！"""
ssn_014910_0001_002#0,"""おかげで調査を進められる。<br>なにかわかったら、あんたにも知らせるよ。"""
ssn_014910_0001_010#0,"""コクーンのデータ、ありがとさん。<br>おかげで調査を進められるよ。"""
ssn_014910_0001_011#0,"""なにかわかったら、<br>あんたにも知らせるからね。"""
ssn_014910_0001#0,"""やあ、あんたかい。<br>いいとこに来てくれた。"""
ssn_014910_0002#0,"""この前のデータ、解析が進んでさ。<br>いろいろとわかったことがあるんだ。"""
ssn_014910_0003#0,"""ちょっと話をしたいんだけど……。<br>今、時間あるかい？"""
ssn_014910_0101#0,"""あたしたち研究者が立ててる、<br>ある仮説……。"""
ssn_014910_0102#0,"""……それを検討していくには、まだ情報が足りなくてさ。<br>データ収集、よろしくね。"""
ssn_014910_0201#0,"""そう、大丈夫だよ。無理にとは言わないから。<br>また今度、相談にのってちょうだい。"""
ssn_014910_0301#0,"""データ、取れたようだね。<br>ありがとさん。"""
ssn_014910_0302#0,"""うん。有益な情報ばかりだね。<br>ははっ、ホントに助かるよ。"""
ssn_014910_0303#0,"""さて、考察を進めるとするか。<br>いろいろまとめられたら、また知らせるよ。"""
ssn_014910_1001#0,"""おっ、来てくれたね。"""
ssn_014910_1002#0,"""いろいろ情報まとまってきたからさ。<br>この前の話の続き、させてくれよ。"""
ssn_014910_1101#0,"""かつて、ハルファには、<br>ある高度な文明が存在していた……。"""
ssn_014910_1102#0,"""その説を立証していくには、まだまだ情報が足りなくてさ。<br>タワーのデータ、期待してるよ。"""
ssn_014910_1201#0,"""そうかい、大丈夫だよ。無理にとは言わないから。<br>また今度、相談にのってちょうだい。"""
ssn_014910_1301#0,"""タワーのデータ、ありがとさん！<br>ははっ、本当に助かるよ。"""
ssn_014910_1302#0,"""これでまた、<br>真相に一歩近づけるはずさ。"""
ssn_014910_1303#0,"""またなにかわかったら、<br>真っ先に、あんたに知らせるからね。"""
ssn_014910_1304#0,"""期待して、待っててくれ。"""
ssn_014910_1401#0,"""タワーのデータ、ありがとさん！<br>本当に助かるよ。"""
ssn_014910_1402#0,"""またなにかわかったら、<br>真っ先に、あんたに知らせるからね。"""
ssn_014910_1403#0,"""期待して、待っててくれ。"""
